time_s,reference_a,current_a,u_i,u1_true,u1_meas,duty,feedforward,control_dt
0.000000,0.020000,0.001100,0.044000,0.000000,0.000000,0.001833,1,0.001000
0.000050,0.020000,-0.004096,0.044000,0.251286,0.000000,0.001833,1,0.001000
0.000100,0.020000,-0.015503,0.044000,0.502324,0.000000,0.001833,1,0.001000
0.000150,0.020000,-0.033031,0.044000,0.752867,0.000000,0.001833,1,0.001000
0.000200,0.020000,-0.056584,0.044000,1.002666,0.000000,0.001833,1,0.001000
0.000250,0.020000,-0.086064,0.044000,1.251476,0.000000,0.001833,1,0.001000
0.000300,0.020000,-0.121364,0.044000,1.499051,0.000000,0.001833,1,0.001000
0.000350,0.020000,-0.162376,0.044000,1.745146,0.000000,0.001833,1,0.001000
0.000400,0.020000,-0.208984,0.044000,1.989519,0.000000,0.001833,1,0.001000
0.000450,0.020000,-0.261070,0.044000,2.231929,0.000000,0.001833,1,0.001000
0.000500,0.020000,-0.318510,0.044000,2.472136,0.000000,0.001833,1,0.001000
0.000550,0.020000,-0.381177,0.044000,2.709903,0.000000,0.001833,1,0.001000
0.000600,0.020000,-0.448937,0.044000,2.944996,0.000000,0.001833,1,0.001000
0.000650,0.020000,-0.521655,0.044000,3.177183,0.000000,0.001833,1,0.001000
0.000700,0.020000,-0.599190,0.044000,3.406234,0.000000,0.001833,1,0.001000
0.000750,0.020000,-0.681398,0.044000,3.631924,0.000000,0.001833,1,0.001000
0.000800,0.020000,-0.768131,0.044000,3.854029,0.000000,0.001833,1,0.001000
0.000850,0.020000,-0.859238,0.044000,4.072331,0.000000,0.001833,1,0.001000
0.000900,0.020000,-0.954563,0.044000,4.286614,0.000000,0.001833,1,0.001000
0.000950,0.020000,-1.053947,0.044000,4.496667,0.000000,0.001833,1,0.001000
0.001000,0.040000,-0.980506,2.410684,4.702282,4.702282,0.296374,1,0.001000
0.001050,0.040000,-0.913007,2.410684,4.903256,4.702282,0.296374,1,0.001000
0.001100,0.040000,-0.851255,2.410684,5.099392,4.702282,0.296374,1,0.001000
0.001150,0.040000,-0.795052,2.410684,5.290495,4.702282,0.296374,1,0.001000
0.001200,0.040000,-0.744200,2.410684,5.476377,4.702282,0.296374,1,0.001000
0.001250,0.040000,-0.698494,2.410684,5.656854,4.702282,0.296374,1,0.001000
0.001300,0.040000,-0.657733,2.410684,5.831749,4.702282,0.296374,1,0.001000
0.001350,0.040000,-0.621709,2.410684,6.000889,4.702282,0.296374,1,0.001000
0.001400,0.040000,-0.590216,2.410684,6.164106,4.702282,0.296374,1,0.001000
0.001450,0.040000,-0.563045,2.410684,6.321240,4.702282,0.296374,1,0.001000
0.001500,0.040000,-0.539987,2.410684,6.472136,4.702282,0.296374,1,0.001000
0.001550,0.040000,-0.520829,2.410684,6.616645,4.702282,0.296374,1,0.001000
0.001600,0.040000,-0.505360,2.410684,6.754623,4.702282,0.296374,1,0.001000
0.001650,0.040000,-0.493367,2.410684,6.885936,4.702282,0.296374,1,0.001000
0.001700,0.040000,-0.484637,2.410684,7.010453,4.702282,0.296374,1,0.001000
0.001750,0.040000,-0.478956,2.410684,7.128052,4.702282,0.296374,1,0.001000
0.001800,0.040000,-0.476111,2.410684,7.238616,4.702282,0.296374,1,0.001000
0.001850,0.040000,-0.475886,2.410684,7.342037,4.702282,0.296374,1,0.001000
0.001900,0.040000,-0.478068,2.410684,7.438212,4.702282,0.296374,1,0.001000
0.001950,0.040000,-0.482445,2.410684,7.527046,4.702282,0.296374,1,0.001000
0.002000,0.060000,-0.441010,1.416168,7.608452,7.608452,0.376026,1,0.001000
0.002050,0.060000,-0.401940,1.416168,7.682349,7.608452,0.376026,1,0.001000
0.002100,0.060000,-0.365017,1.416168,7.748665,7.608452,0.376026,1,0.001000
0.002150,0.060000,-0.330023,1.416168,7.807334,7.608452,0.376026,1,0.001000
0.002200,0.060000,-0.296739,1.416168,7.858298,7.608452,0.376026,1,0.001000
0.002250,0.060000,-0.264952,1.416168,7.901507,7.608452,0.376026,1,0.001000
0.002300,0.060000,-0.234448,1.416168,7.936918,7.608452,0.376026,1,0.001000
0.002350,0.060000,-0.205014,1.416168,7.964496,7.608452,0.376026,1,0.001000
0.002400,0.060000,-0.176441,1.416168,7.984214,7.608452,0.376026,1,0.001000
0.002450,0.060000,-0.148521,1.416168,7.996052,7.608452,0.376026,1,0.001000
0.002500,0.060000,-0.121049,1.416168,8.000000,7.608452,0.376026,1,0.001000
0.002550,0.060000,-0.093822,1.416168,7.996052,7.608452,0.376026,1,0.001000
0.002600,0.060000,-0.066639,1.416168,7.984214,7.608452,0.376026,1,0.001000
0.002650,0.060000,-0.039303,1.416168,7.964496,7.608452,0.376026,1,0.001000
0.002700,0.060000,-0.011619,1.416168,7.936918,7.608452,0.376026,1,0.001000
0.002750,0.060000,0.016604,1.416168,7.901507,7.608452,0.376026,1,0.001000
0.002800,0.060000,0.045554,1.416168,7.858298,7.608452,0.376026,1,0.001000
0.002850,0.060000,0.075417,1.416168,7.807334,7.608452,0.376026,1,0.001000
0.002900,0.060000,0.106373,1.416168,7.748665,7.608452,0.376026,1,0.001000
0.002950,0.060000,0.138600,1.416168,7.682349,7.608452,0.376026,1,0.001000
0.003000,0.080000,0.141927,0.202358,7.608452,7.608452,0.325450,1,0.001000
0.003050,0.080000,0.147247,0.202358,7.527046,7.608452,0.325450,1,0.001000
0.003100,0.080000,0.154721,0.202358,7.438212,7.608452,0.325450,1,0.001000
0.003150,0.080000,0.164506,0.202358,7.342037,7.608452,0.325450,1,0.001000
0.003200,0.080000,0.176755,0.202358,7.238616,7.608452,0.325450,1,0.001000
0.003250,0.080000,0.191614,0.202358,7.128052,7.608452,0.325450,1,0.001000
0.003300,0.080000,0.209228,0.202358,7.010453,7.608452,0.325450,1,0.001000
0.003350,0.080000,0.229735,0.202358,6.885936,7.608452,0.325450,1,0.001000
0.003400,0.080000,0.253268,0.202358,6.754623,7.608452,0.325450,1,0.001000
0.003450,0.080000,0.279956,0.202358,6.616645,7.608452,0.325450,1,0.001000
0.003500,0.080000,0.309923,0.202358,6.472136,7.608452,0.325450,1,0.001000
0.003550,0.080000,0.343289,0.202358,6.321240,7.608452,0.325450,1,0.001000
0.003600,0.080000,0.380165,0.202358,6.164106,7.608452,0.325450,1,0.001000
0.003650,0.080000,0.420661,0.202358,6.000889,7.608452,0.325450,1,0.001000
0.003700,0.080000,0.464879,0.202358,5.831749,7.608452,0.325450,1,0.001000
0.003750,0.080000,0.512917,0.202358,5.656854,7.608452,0.325450,1,0.001000
0.003800,0.080000,0.564867,0.202358,5.476377,7.608452,0.325450,1,0.001000
0.003850,0.080000,0.620814,0.202358,5.290495,7.608452,0.325450,1,0.001000
0.003900,0.080000,0.680839,0.202358,5.099392,7.608452,0.325450,1,0.001000
0.003950,0.080000,0.745017,0.202358,4.903256,7.608452,0.325450,1,0.001000
0.004000,0.100000,0.708217,-1.099479,4.702282,4.702282,0.150117,1,0.001000
0.004050,0.100000,0.677018,-1.099479,4.496667,4.702282,0.150117,1,0.001000
0.004100,0.100000,0.651460,-1.099479,4.286614,4.702282,0.150117,1,0.001000
0.004150,0.100000,0.631579,-1.099479,4.072331,4.702282,0.150117,1,0.001000
0.004200,0.100000,0.617403,-1.099479,3.854029,4.702282,0.150117,1,0.001000
0.004250,0.100000,0.608958,-1.099479,3.631924,4.702282,0.150117,1,0.001000
0.004300,0.100000,0.606260,-1.099479,3.406234,4.702282,0.150117,1,0.001000
0.004350,0.100000,0.609322,-1.099479,3.177183,4.702282,0.150117,1,0.001000
0.004400,0.100000,0.618151,-1.099479,2.944996,4.702282,0.150117,1,0.001000
0.004450,0.100000,0.632746,-1.099479,2.709903,4.702282,0.150117,1,0.001000
0.004500,0.100000,0.653104,-1.099479,2.472136,4.702282,0.150117,1,0.001000
0.004550,0.100000,0.679212,-1.099479,2.231929,4.702282,0.150117,1,0.001000
0.004600,0.100000,0.711054,-1.099479,1.989519,4.702282,0.150117,1,0.001000
0.004650,0.100000,0.748607,-1.099479,1.745146,4.702282,0.150117,1,0.001000
0.004700,0.100000,0.791843,-1.099479,1.499051,4.702282,0.150117,1,0.001000
0.004750,0.100000,0.840728,-1.099479,1.251476,4.702282,0.150117,1,0.001000
0.004800,0.100000,0.895223,-1.099479,1.002666,4.702282,0.150117,1,0.001000
0.004850,0.100000,0.955281,-1.099479,0.752867,4.702282,0.150117,1,0.001000
0.004900,0.100000,1.020852,-1.099479,0.502324,4.702282,0.150117,1,0.001000
0.004950,0.100000,1.091879,-1.099479,0.251286,4.702282,0.150117,1,0.001000
0.005000,0.120000,1.029541,-1.947579,0.000000,0.000000,-0.081149,1,0.001000
0.005050,0.120000,0.974264,-1.947579,-0.251286,0.000000,-0.081149,1,0.001000
0.005100,0.120000,0.925955,-1.947579,-0.502324,0.000000,-0.081149,1,0.001000
0.005150,0.120000,0.884512,-1.947579,-0.752867,0.000000,-0.081149,1,0.001000
0.005200,0.120000,0.849833,-1.947579,-1.002666,0.000000,-0.081149,1,0.001000
0.005250,0.120000,0.821808,-1.947579,-1.251476,0.000000,-0.081149,1,0.001000
0.005300,0.120000,0.800322,-1.947579,-1.499051,0.000000,-0.081149,1,0.001000
0.005350,0.120000,0.785257,-1.947579,-1.745146,0.000000,-0.081149,1,0.001000
0.005400,0.120000,0.776490,-1.947579,-1.989519,0.000000,-0.081149,1,0.001000
0.005450,0.120000,0.773893,-1.947579,-2.231929,0.000000,-0.081149,1,0.001000
0.005500,0.120000,0.777333,-1.947579,-2.472136,0.000000,-0.081149,1,0.001000
0.005550,0.120000,0.786674,-1.947579,-2.709903,0.000000,-0.081149,1,0.001000
0.005600,0.120000,0.801776,-1.947579,-2.944996,0.000000,-0.081149,1,0.001000
0.005650,0.120000,0.822494,-1.947579,-3.177183,0.000000,-0.081149,1,0.001000
0.005700,0.120000,0.848679,-1.947579,-3.406234,0.000000,-0.081149,1,0.001000
0.005750,0.120000,0.880180,-1.947579,-3.631924,0.000000,-0.081149,1,0.001000
0.005800,0.120000,0.916839,-1.947579,-3.854029,0.000000,-0.081149,1,0.001000
0.005850,0.120000,0.958497,-1.947579,-4.072331,0.000000,-0.081149,1,0.001000
0.005900,0.120000,1.004992,-1.947579,-4.286614,0.000000,-0.081149,1,0.001000
0.005950,0.120000,1.056156,-1.947579,-4.496667,0.000000,-0.081149,1,0.001000
0.006000,0.140000,0.992470,-2.019365,-4.702282,-4.702282,-0.280069,1,0.001000
0.006050,0.140000,0.934605,-2.019365,-4.903256,-4.702282,-0.280069,1,0.001000
0.006100,0.140000,0.882366,-2.019365,-5.099392,-4.702282,-0.280069,1,0.001000
0.006150,0.140000,0.835557,-2.019365,-5.290495,-4.702282,-0.280069,1,0.001000
0.006200,0.140000,0.793981,-2.019365,-5.476377,-4.702282,-0.280069,1,0.001000
0.006250,0.140000,0.757437,-2.019365,-5.656854,-4.702282,-0.280069,1,0.001000
0.006300,0.140000,0.725721,-2.019365,-5.831749,-4.702282,-0.280069,1,0.001000
0.006350,0.140000,0.698631,-2.019365,-6.000889,-4.702282,-0.280069,1,0.001000
0.006400,0.140000,0.675959,-2.019365,-6.164106,-4.702282,-0.280069,1,0.001000
0.006450,0.140000,0.657500,-2.019365,-6.321240,-4.702282,-0.280069,1,0.001000
0.006500,0.140000,0.643043,-2.019365,-6.472136,-4.702282,-0.280069,1,0.001000
0.006550,0.140000,0.632380,-2.019365,-6.616645,-4.702282,-0.280069,1,0.001000
0.006600,0.140000,0.625300,-2.019365,-6.754623,-4.702282,-0.280069,1,0.001000
0.006650,0.140000,0.621591,-2.019365,-6.885936,-4.702282,-0.280069,1,0.001000
0.006700,0.140000,0.621041,-2.019365,-7.010453,-4.702282,-0.280069,1,0.001000
0.006750,0.140000,0.623438,-2.019365,-7.128052,-4.702282,-0.280069,1,0.001000
0.006800,0.140000,0.628569,-2.019365,-7.238616,-4.702282,-0.280069,1,0.001000
0.006850,0.140000,0.636222,-2.019365,-7.342037,-4.702282,-0.280069,1,0.001000
0.006900,0.140000,0.646183,-2.019365,-7.438212,-4.702282,-0.280069,1,0.001000
0.006950,0.140000,0.658241,-2.019365,-7.527046,-4.702282,-0.280069,1,0.001000
0.007000,0.160000,0.617933,-1.283182,-7.608452,-7.608452,-0.370485,1,0.001000
0.007050,0.160000,0.579977,-1.283182,-7.682349,-7.608452,-0.370485,1,0.001000
