time_s,u1,theta,locked,duty,current_a,gate
0.000000,0.000000,0.031416,0,0.000000,0.000000,1
0.000050,0.251286,0.062831,0,0.000000,-0.006282,1
0.000100,0.502324,0.094244,0,0.000000,-0.018762,1
0.000150,0.752867,0.125650,0,0.000000,-0.037349,1
0.000200,1.002666,0.157046,0,0.000000,-0.061949,1
0.000250,1.251476,0.188426,0,0.000000,-0.092461,1
0.000300,1.499051,0.219784,0,0.000000,-0.128782,1
0.000350,1.745146,0.251112,0,0.000000,-0.170801,1
0.000400,1.989519,0.282402,0,0.000000,-0.218404,1
0.000450,2.231929,0.313646,0,0.000000,-0.271472,1
0.000500,2.472136,0.344834,0,0.000000,-0.329882,1
0.000550,2.709903,0.375957,0,0.000000,-0.393506,1
0.000600,2.944996,0.407004,0,0.000000,-0.462212,1
0.000650,3.177183,0.437965,0,0.000000,-0.535864,1
0.000700,3.406234,0.468830,0,0.000000,-0.614321,1
0.000750,3.631924,0.499587,0,0.000000,-0.697440,1
0.000800,3.854029,0.530227,0,0.000000,-0.785073,1
0.000850,4.072331,0.560738,0,0.000000,-0.877068,1
0.000900,4.286614,0.591110,0,0.000000,-0.973270,1
0.000950,4.496667,0.621333,0,0.000000,-1.073521,1
0.001000,4.702282,0.651396,0,0.000000,-1.177659,1
0.001050,4.903256,0.681290,0,0.000000,-1.285520,1
0.001100,5.099392,0.711005,0,0.000000,-1.396935,1
0.001150,5.290495,0.740532,0,0.000000,-1.511736,1
0.001200,5.476377,0.769863,0,0.000000,-1.629749,1
0.001250,5.656854,0.798989,0,0.000000,-1.750798,1
0.001300,5.831749,0.827904,0,0.000000,-1.874707,1
0.001350,6.000889,0.856599,0,0.000000,-2.001295,1
0.001400,6.164106,0.885069,0,0.000000,-2.130382,1
0.001450,6.321240,0.913307,0,0.000000,-2.261783,1
0.001500,6.472136,0.941308,0,0.000000,-2.395314,1
0.001550,6.616645,0.969067,0,0.000000,-2.530789,1
0.001600,6.754623,0.996580,0,0.000000,-2.668020,1
0.001650,6.885936,1.023844,0,0.000000,-2.806818,1
0.001700,7.010453,1.050855,0,0.000000,-2.946994,1
0.001750,7.128052,1.077611,0,0.000000,-3.088358,1
0.001800,7.238616,1.104110,0,0.000000,-3.230719,1
0.001850,7.342037,1.130351,0,0.000000,-3.373886,1
0.001900,7.438212,1.156332,0,0.000000,-3.517667,1
0.001950,7.527046,1.182054,0,0.000000,-3.661873,1
0.002000,7.608452,1.207517,0,0.000000,-3.806311,1
0.002050,7.682349,1.232722,0,0.000000,-3.950790,1
0.002100,7.748665,1.257854,0,0.000000,-4.095122,1
0.002150,7.807334,1.282987,0,0.000000,-4.239116,1
0.002200,7.858298,1.308120,0,0.000000,-4.382585,1
0.002250,7.901507,1.333253,0,0.000000,-4.525340,1
0.002300,7.936918,1.358385,0,0.000000,-4.667197,1
0.002350,7.964496,1.383518,0,0.000000,-4.807969,1
0.002400,7.984214,1.408651,0,0.000000,-4.947475,1
0.002450,7.996052,1.433783,0,0.000000,-5.085533,1
0.002500,8.000000,1.458916,0,0.000000,-5.221963,1
0.002550,7.996052,1.484049,0,0.000000,-5.356590,1
0.002600,7.984214,1.509182,0,0.000000,-5.489238,1
0.002650,7.964496,1.534314,0,0.000000,-5.619735,1
0.002700,7.936918,1.559447,0,0.000000,-5.747911,1
0.002750,7.901507,1.584580,0,0.000000,-5.873600,1
0.002800,7.858298,1.609713,0,0.000000,-5.996638,1
0.002850,7.807334,1.634845,0,0.000000,-6.116863,1
0.002900,7.748665,1.659978,0,0.000000,-6.234119,1
0.002950,7.682349,1.685111,0,0.000000,-6.348251,1
0.003000,7.608452,1.710244,0,0.000000,-6.459109,1
0.003050,7.527046,1.735376,0,0.000000,-6.566546,1
0.003100,7.438212,1.760509,0,0.000000,-6.670420,1
0.003150,7.342037,1.785642,0,0.000000,-6.770591,1
0.003200,7.238616,1.810775,0,0.000000,-6.866924,1
0.003250,7.128052,1.835907,0,0.000000,-6.959288,1
0.003300,7.010453,1.861040,0,0.000000,-7.047559,1
0.003350,6.885936,1.886173,0,0.000000,-7.131613,1
0.003400,6.754623,1.911306,0,0.000000,-7.211333,1
0.003450,6.616645,1.936438,0,0.000000,-7.286607,1
0.003500,6.472136,1.961571,0,0.000000,-7.357328,1
0.003550,6.321240,1.986704,0,0.000000,-7.423393,1
0.003600,6.164106,2.011837,0,0.000000,-7.484703,1
0.003650,6.000889,2.036969,0,0.000000,-7.541166,1
0.003700,5.831749,2.062102,0,0.000000,-7.592695,1
0.003750,5.656854,2.087235,0,0.000000,-7.639208,1
0.003800,5.476377,2.112368,0,0.000000,-7.680627,1
0.003850,5.290495,2.137500,0,0.000000,-7.716882,1
0.003900,5.099392,2.162633,0,0.000000,-7.747906,1
0.003950,4.903256,2.187766,0,0.000000,-7.773638,1
0.004000,4.702282,2.212898,0,0.000000,-7.794025,1
0.004050,4.496667,2.238031,0,0.000000,-7.809016,1
0.004100,4.286614,2.263164,0,0.000000,-7.818569,1
0.004150,4.072331,2.288297,0,0.000000,-7.822645,1
0.004200,3.854029,2.313429,0,0.000000,-7.821213,1
0.004250,3.631924,2.338562,0,0.000000,-7.814246,1
0.004300,3.406234,2.363695,0,0.000000,-7.801724,1
0.004350,3.177183,2.388828,0,0.000000,-7.783632,1
0.004400,2.944996,2.413960,0,0.000000,-7.759961,1
0.004450,2.709903,2.439093,0,0.000000,-7.730709,1
0.004500,2.472136,2.464226,0,0.000000,-7.695879,1
0.004550,2.231929,2.489359,0,0.000000,-7.655478,1
0.004600,1.989519,2.514491,0,0.000000,-7.609523,1
0.004650,1.745146,2.539624,0,0.000000,-7.558033,1
0.004700,1.499051,2.564757,0,0.000000,-7.501033,1
0.004750,1.251476,2.589890,0,0.000000,-7.438557,1
0.004800,1.002666,2.615022,0,0.000000,-7.370642,1
0.004850,0.752867,2.640155,0,0.000000,-7.297331,1
0.004900,0.502324,2.665288,0,0.000000,-7.218672,1
0.004950,0.251286,2.690421,0,0.000000,-7.134721,1
0.005000,0.000000,2.715553,0,0.000000,-7.045537,1
0.005050,-0.251286,2.740686,0,0.000000,-6.951186,1
0.005100,-0.502324,2.765819,0,0.000000,-6.851738,1
0.005150,-0.752867,2.790952,0,0.000000,-6.747269,1
0.005200,-1.002666,2.816084,0,0.000000,-6.637862,1
0.005250,-1.251476,2.841217,0,0.000000,-6.523602,1
0.005300,-1.499051,2.866350,0,0.000000,-6.404580,1
0.005350,-1.745146,2.891482,0,0.000000,-6.280894,1
0.005400,-1.989519,2.916615,0,0.000000,-6.152645,1
0.005450,-2.231929,2.941748,0,0.000000,-6.019939,1
0.005500,-2.472136,2.966881,0,0.000000,-5.882886,1
0.005550,-2.709903,2.992013,0,0.000000,-5.741603,1
0.005600,-2.944996,3.017146,0,0.000000,-5.596208,1
0.005650,-3.177183,3.042279,0,0.000000,-5.446825,1
0.005700,-3.406234,3.067412,0,0.000000,-5.293584,1
0.005750,-3.631924,3.092544,0,0.000000,-5.136616,1
0.005800,-3.854029,3.117677,0,0.000000,-4.976058,1
0.005850,-4.072331,3.142810,0,0.000000,-4.812049,1
0.005900,-4.286614,3.167943,0,0.000000,-4.644733,1
0.005950,-4.496667,3.193075,0,0.000000,-4.474257,1
0.006000,-4.702282,3.218208,0,0.000000,-4.300772,1
0.006050,-4.903256,3.243341,0,0.000000,-4.124431,1
0.006100,-5.099392,3.268474,0,0.000000,-3.945391,1
0.006150,-5.290495,3.293606,0,0.000000,-3.763811,1
0.006200,-5.476377,3.318739,0,0.000000,-3.579854,1
0.006250,-5.656854,3.343872,0,0.000000,-3.393684,1
0.006300,-5.831749,3.369005,0,0.000000,-3.205470,1
0.006350,-6.000889,3.394137,0,0.000000,-3.015379,1
0.006400,-6.164106,3.419270,0,0.000000,-2.823584,1
0.006450,-6.321240,3.444403,0,0.000000,-2.630258,1
0.006500,-6.472136,3.469536,0,0.000000,-2.435577,1
0.006550,-6.616645,3.494668,0,0.000000,-2.239716,1
0.006600,-6.754623,3.519801,0,0.000000,-2.042854,1
0.006650,-6.885936,3.544934,0,0.000000,-1.845170,1
0.006700,-7.010453,3.570066,0,0.000000,-1.646844,1
0.006750,-7.128052,3.595199,0,0.000000,-1.448057,1
0.006800,-7.238616,3.620332,0,0.000000,-1.248991,1
0.006850,-7.342037,3.645465,0,0.000000,-1.049827,1
0.006900,-7.438212,3.670597,0,0.000000,-0.850749,1
0.006950,-7.527046,3.695730,0,0.000000,-0.651939,1
0.007000,-7.608452,3.720863,0,0.000000,-0.453578,1
0.007050,-7.682349,3.745996,0,0.000000,-0.255850,1
0.007100,-7.748665,3.771128,0,0.000000,-0.058935,1
0.007150,-7.807334,3.796261,0,0.000000,0.136985,1
0.007200,-7.858298,3.821394,0,0.000000,0.331730,1
0.007250,-7.901507,3.846527,0,0.000000,0.525121,1
0.007300,-7.936918,3.871659,0,0.000000,0.716980,1
0.007350,-7.964496,3.896792,0,0.000000,0.907130,1
0.007400,-7.984214,3.921925,0,0.000000,1.095396,1
0.007450,-7.996052,3.947058,0,0.000000,1.281605,1
0.007500,-8.000000,3.972190,0,0.000000,1.465585,1
0.007550,-7.996052,3.997323,0,0.000000,1.647167,1
0.007600,-7.984214,4.022456,0,0.000000,1.826183,1
0.007650,-7.964496,4.047589,0,0.000000,2.002468,1
0.007700,-7.936918,4.072721,0,0.000000,2.175860,1
0.007750,-7.901507,4.097854,0,0.000000,2.346199,1
0.007800,-7.858298,4.122987,0,0.000000,2.513329,1
0.007850,-7.807334,4.148120,0,0.000000,2.677096,1
0.007900,-7.748665,4.173252,0,0.000000,2.837349,1
0.007950,-7.682349,4.198385,0,0.000000,2.993941,1
0.008000,-7.608452,4.223518,0,0.000000,3.146728,1
0.008050,-7.527046,4.248651,0,0.000000,3.295570,1
0.008100,-7.438212,4.273783,0,0.000000,3.440330,1
0.008150,-7.342037,4.298916,0,0.000000,3.580877,1
0.008200,-7.238616,4.324049,0,0.000000,3.717082,1
0.008250,-7.128052,4.349181,0,0.000000,3.848819,1
0.008300,-7.010453,4.374314,0,0.000000,3.975971,1
0.008350,-6.885936,4.399447,0,0.000000,4.098419,1
0.008400,-6.754623,4.424580,0,0.000000,4.216055,1
0.008450,-6.616645,4.449712,0,0.000000,4.328770,1
0.008500,-6.472136,4.474845,0,0.000000,4.436464,1
0.008550,-6.321240,4.499978,0,0.000000,4.539039,1
0.008600,-6.164106,4.525111,0,0.000000,4.636404,1
0.008650,-6.000889,4.550243,0,0.000000,4.728471,1
0.008700,-5.831749,4.575376,0,0.000000,4.815159,1
0.008750,-5.656854,4.600509,0,0.000000,4.896391,1
0.008800,-5.476377,4.625642,0,0.000000,4.972095,1
0.008850,-5.290495,4.650774,0,0.000000,5.042206,1
0.008900,-5.099392,4.675907,0,0.000000,5.106664,1
0.008950,-4.903256,4.701040,0,0.000000,5.165412,1
0.009000,-4.702282,4.726173,0,0.000000,5.218401,1
0.009050,-4.496667,4.751305,0,0.000000,5.265588,1
0.009100,-4.286614,4.776438,0,0.000000,5.306933,1
0.009150,-4.072331,4.801571,0,0.000000,5.342405,1
0.009200,-3.854029,4.826704,0,0.000000,5.371976,1
0.009250,-3.631924,4.851836,0,0.000000,5.395624,1
0.009300,-3.406234,4.876969,0,0.000000,5.413335,1
0.009350,-3.177183,4.902102,0,0.000000,5.425097,1
0.009400,-2.944996,4.927235,0,0.000000,5.430909,1
0.009450,-2.709903,4.952367,0,0.000000,5.430770,1
0.009500,-2.472136,4.977500,0,0.000000,5.424689,1
0.009550,-2.231929,5.002633,0,0.000000,5.412678,1
0.009600,-1.989519,5.027765,0,0.000000,5.394758,1
0.009650,-1.745146,5.052898,0,0.000000,5.370952,1
0.009700,-1.499051,5.078031,0,0.000000,5.341291,1
0.009750,-1.251476,5.103164,0,0.000000,5.305812,1
0.009800,-1.002666,5.128296,0,0.000000,5.264556,1
0.009850,-0.752867,5.153429,0,0.000000,5.217571,1
0.009900,-0.502324,5.178562,0,0.000000,5.164909,1
0.009950,-0.251286,5.203695,0,0.000000,5.106630,1
