time_s,u1,theta,locked,duty,current_a,gate
0.000000,0.000000,0.031416,0,0.083750,0.050250,0
0.000050,0.251286,0.062831,0,0.090428,0.097597,0
0.000100,0.502324,0.094244,0,0.097319,0.142210,0
0.000150,0.752867,0.125650,0,0.104398,0.184249,0
0.000200,1.002666,0.157046,0,0.111643,0.223865,0
0.000250,1.251476,0.188426,0,0.119032,0.261199,0
0.000300,1.499051,0.219784,0,0.126544,0.296384,0
0.000350,1.745146,0.251112,0,0.134159,0.329546,0
0.000400,1.989519,0.282402,0,0.141857,0.360803,0
0.000450,2.231929,0.313646,0,0.149619,0.390267,0
0.000500,2.472136,0.344834,0,0.157427,0.418041,0
0.000550,2.709903,0.375957,0,0.165262,0.444225,0
0.000600,2.944996,0.407004,0,0.173107,0.468911,0
0.000650,3.177183,0.437965,0,0.180945,0.492187,0
0.000700,3.406234,0.468830,0,0.188761,0.514136,0
0.000750,3.631924,0.499587,0,0.196538,0.534834,0
0.000800,3.854029,0.530227,0,0.204261,0.554354,0
0.000850,4.072331,0.560738,0,0.211916,0.572766,0
0.000900,4.286614,0.591110,0,0.219488,0.590135,0
0.000950,4.496667,0.621333,0,0.226964,0.606520,0
0.001000,4.702282,0.651396,0,0.234330,0.621979,0
0.001050,4.903256,0.681290,0,0.241573,0.636567,0
0.001100,5.099392,0.711005,0,0.248681,0.650334,0
0.001150,5.290495,0.740532,0,0.255642,0.663327,0
0.001200,5.476377,0.769863,0,0.262445,0.675593,0
0.001250,5.656854,0.798989,0,0.269078,0.687174,0
0.001300,5.831749,0.827904,0,0.275530,0.698108,0
0.001350,6.000889,0.856599,0,0.281792,0.708435,0
0.001400,6.164106,0.885069,0,0.287854,0.718190,0
0.001450,6.321240,0.913307,0,0.293706,0.727405,0
0.001500,6.472136,0.941308,0,0.299339,0.736112,0
0.001550,6.616645,0.969067,0,0.304744,0.744341,0
0.001600,6.754623,0.996580,0,0.309914,0.752120,0
0.001650,6.885936,1.023844,0,0.314841,0.759474,0
0.001700,7.010453,1.050855,0,0.319516,0.766429,0
0.001750,7.128052,1.077611,0,0.323934,0.773008,0
0.001800,7.238616,1.104110,0,0.328087,0.779232,0
0.001850,7.342037,1.130351,0,0.331970,0.785122,0
0.001900,7.438212,1.156332,0,0.335576,0.790698,0
0.001950,7.527046,1.182054,0,0.338899,0.795978,0
0.002000,7.608452,1.207517,0,0.341936,0.800979,0
0.002050,7.682349,1.232722,0,0.344682,0.805717,0
