time_s,i_alpha,id,iq,duty,use_park
0.000000,0.200500,0.000000,0.000000,0.334167,0
0.000050,0.358793,0.200401,-0.006298,0.278470,0
0.000100,0.483770,0.358103,-0.022250,0.236700,0
0.000150,0.582448,0.481722,-0.044483,0.205910,0
0.000200,0.660365,0.578163,-0.070562,0.183774,0
0.000250,0.721894,0.652957,-0.098745,0.168452,0
0.000300,0.770488,0.710531,-0.127807,0.158489,0
0.000350,0.808870,0.754430,-0.156903,0.152737,0
0.000400,0.839192,0.787486,-0.185468,0.150284,0
0.000450,0.863150,0.811968,-0.213140,0.150411,0
0.000500,0.882086,0.829685,-0.239704,0.152548,0
0.000550,0.897057,0.842087,-0.265050,0.156241,0
0.000600,0.908898,0.850330,-0.289142,0.161132,0
0.000650,0.918268,0.855337,-0.311995,0.166935,0
0.000700,0.925689,0.857847,-0.333660,0.173424,0
0.000750,0.931569,0.858445,-0.354211,0.180416,0
0.000800,0.936234,0.857600,-0.373735,0.187767,0
0.000850,0.939940,0.855684,-0.392328,0.195361,0
0.000900,0.942888,0.852989,-0.410091,0.203105,0
0.000950,0.945238,0.849746,-0.427124,0.210922,0
0.001000,0.947116,0.846137,-0.443527,0.218751,0
0.001050,0.948622,0.842301,-0.459398,0.226543,0
0.001100,0.949833,0.838343,-0.474829,0.234256,0
0.001150,0.950812,0.834344,-0.489909,0.241857,0
0.001200,0.951608,0.830358,-0.504724,0.249317,0
0.001250,0.952258,0.826423,-0.519353,0.256612,0
0.001300,0.952795,0.822563,-0.533871,0.263722,0
0.001350,0.953241,0.818787,-0.548347,0.270630,0
0.001400,0.953615,0.815093,-0.562846,0.277321,0
0.001450,0.953933,0.811473,-0.577428,0.283782,0
0.001500,0.954207,0.807908,-0.592147,0.290002,0
0.001550,0.954445,0.804374,-0.607053,0.295970,0
0.001600,0.954656,0.800842,-0.622190,0.301678,0
0.001650,0.954844,0.797279,-0.637598,0.307117,0
0.001700,0.955015,0.793647,-0.653312,0.312280,0
0.001750,0.955172,0.789905,-0.669362,0.317160,0
0.001800,0.955318,0.786011,-0.685772,0.321752,0
0.001850,0.955456,0.781918,-0.702564,0.326050,0
0.001900,0.955586,0.777579,-0.719753,0.330048,0
0.001950,0.955711,0.772948,-0.737351,0.333743,0
0.002000,0.955832,0.767975,-0.755364,0.337130,0
0.002050,0.955949,0.762610,-0.773795,0.340206,0
0.002100,0.956063,0.756805,-0.792641,0.342967,0
0.002150,0.956175,0.750511,-0.811897,0.345410,0
0.002200,0.956285,0.743678,-0.831553,0.347533,0
0.002250,0.956393,0.736259,-0.851593,0.349333,0
0.002300,0.956501,0.728208,-0.872001,0.350809,0
0.002350,0.956607,0.719478,-0.892754,0.351958,0
0.002400,0.956712,0.710026,-0.913827,0.352780,0
0.002450,0.956817,0.699810,-0.935192,0.353275,0
0.002500,0.956921,0.688789,-0.956817,0.353440,0
0.002550,0.957024,0.676925,-0.978666,0.353277,0
0.002600,0.957127,0.664183,-1.000703,0.352785,0
0.002650,0.957230,0.650528,-1.022887,0.351965,0
0.002700,0.957332,0.635930,-1.045174,0.350817,0
0.002750,0.957433,0.620360,-1.067520,0.349343,0
0.002800,0.957535,0.603794,-1.089878,0.347545,0
0.002850,0.957636,0.586208,-1.112198,0.345423,0
0.002900,0.957737,0.567584,-1.134428,0.342980,0
0.002950,0.957837,0.547904,-1.156518,0.340218,0
0.003000,0.957937,0.527155,-1.178413,0.337141,0
0.003050,0.958037,0.505329,-1.200058,0.333751,0
0.003100,0.958137,0.482416,-1.221397,0.330051,0
0.003150,0.958237,0.458415,-1.242375,0.326045,0
0.003200,0.958336,0.433324,-1.262934,0.321738,0
0.003250,0.958435,0.407146,-1.283017,0.317132,0
0.003300,0.958533,0.379889,-1.302566,0.312234,0
0.003350,0.958632,0.351560,-1.321525,0.307048,0
0.003400,0.958730,0.322174,-1.339836,0.301578,0
0.003450,0.958828,0.291745,-1.357443,0.295830,0
0.003500,0.958926,0.260292,-1.374290,0.289811,0
0.003550,0.959023,0.227838,-1.390322,0.283525,0
0.003600,0.959121,0.194408,-1.405484,0.276980,0
0.003650,0.959218,0.160030,-1.419724,0.270180,0
0.003700,0.959314,0.124734,-1.432989,0.263135,0
0.003750,0.959411,0.088555,-1.445230,0.255849,0
0.003800,0.959507,0.051528,-1.456398,0.248331,0
0.003850,0.959604,0.013692,-1.466445,0.240587,0
0.003900,0.959699,-0.024911,-1.475327,0.232626,0
0.003950,0.959795,-0.064238,-1.483000,0.224456,0
0.004000,0.959891,-0.104243,-1.489423,0.216083,0
0.004050,0.959986,-0.144877,-1.494556,0.207518,0
0.004100,0.960081,-0.186092,-1.498364,0.198767,0
0.004150,0.960176,-0.227834,-1.500810,0.189840,0
0.004200,0.960270,-0.270050,-1.501865,0.180746,0
0.004250,0.960364,-0.312685,-1.501497,0.171493,0
0.004300,0.960458,-0.355683,-1.499680,0.162091,0
0.004350,0.960552,-0.398985,-1.496390,0.152549,0
0.004400,0.960646,-0.442532,-1.491604,0.142876,0
0.004450,0.960739,-0.486265,-1.485305,0.133082,0
0.004500,0.960833,-0.530120,-1.477475,0.123176,0
0.004550,0.960926,-0.574038,-1.468102,0.113169,0
0.004600,0.961018,-0.617955,-1.457174,0.103071,0
0.004650,0.961111,-0.661809,-1.444685,0.092890,0
0.004700,0.961203,-0.705535,-1.430628,0.082637,0
0.004750,0.961295,-0.749070,-1.415003,0.072323,0
0.004800,0.961387,-0.792351,-1.397809,0.061958,0
0.004850,0.961479,-0.835314,-1.379051,0.051551,0
0.004900,0.961570,-0.877896,-1.358733,0.041113,0
0.004950,0.961662,-0.920032,-1.336867,0.030655,0
0.005000,0.961753,-0.961662,-1.313462,0.020186,0
0.005050,0.961843,-1.002721,-1.288534,0.009718,0
0.005100,0.961934,-1.043150,-1.262100,-0.000741,0
