time_s,moe,trip,pll,pb12,pwm_out
0.000,1,0,0,1,0.4
0.001,1,0,0,1,0.4
0.002,1,0,0,1,0.4
0.003,1,0,0,1,0.4
0.004,1,0,0,1,0.4
0.005,1,0,0,1,0.4
0.006,1,0,0,1,0.4
0.007,1,0,0,1,0.4
0.008,1,0,0,1,0.4
0.009,1,0,0,1,0.4
0.010,1,0,0,1,0.4
0.011,1,0,0,1,0.4
0.012,1,0,0,1,0.4
0.013,1,0,0,1,0.4
0.014,1,0,0,1,0.4
0.015,1,0,0,1,0.4
0.016,1,0,0,1,0.4
0.017,1,0,0,1,0.4
0.018,1,0,0,1,0.4
0.019,1,0,0,1,0.4
0.020,1,0,1,1,0.4
0.021,1,0,1,1,0.4
0.022,1,0,1,1,0.4
0.023,1,0,1,1,0.4
0.024,1,0,1,1,0.4
0.025,1,0,1,1,0.4
0.026,1,0,1,1,0.4
0.027,1,0,1,1,0.4
0.028,1,0,1,1,0.4
0.029,1,0,1,1,0.4
0.030,1,0,1,1,0.4
0.031,1,0,1,1,0.4
0.032,1,0,1,1,0.4
0.033,1,0,1,1,0.4
0.034,1,0,1,1,0.4
0.035,1,0,1,1,0.4
0.036,1,0,1,1,0.4
0.037,1,0,1,1,0.4
0.038,1,0,1,1,0.4
0.039,1,0,1,1,0.4
0.040,1,0,1,1,0.4
0.041,1,0,1,1,0.4
0.042,1,0,1,1,0.4
0.043,1,0,1,1,0.4
0.044,1,0,1,1,0.4
0.045,1,0,1,1,0.4
0.046,1,0,1,1,0.4
0.047,1,0,1,1,0.4
0.048,1,0,1,1,0.4
0.049,1,0,1,1,0.4
0.050,0,1,1,1,0.0
0.051,0,1,1,1,0.0
0.052,0,1,1,1,0.0
0.053,0,1,1,1,0.0
0.054,0,1,1,1,0.0
0.055,0,1,1,1,0.0
0.056,0,1,1,1,0.0
0.057,0,1,1,1,0.0
0.058,0,1,1,1,0.0
0.059,0,1,1,1,0.0
0.060,0,1,1,1,0.0
0.061,0,1,1,1,0.0
0.062,0,1,1,1,0.0
0.063,0,1,1,1,0.0
