time_s,mode,bus_cmd_v,id_ref_a,v_out,locked
0.000,OPEN_LOOP,12.0080,0.0000,0.0000,0
0.001,OPEN_LOOP,12.0160,0.0000,0.0000,0
0.002,OPEN_LOOP,12.0240,0.0000,0.0000,0
0.003,OPEN_LOOP,12.0320,0.0000,0.0000,0
0.004,OPEN_LOOP,12.0400,0.0000,0.0000,0
0.005,OPEN_LOOP,12.0480,0.0000,0.0000,0
0.006,OPEN_LOOP,12.0560,0.0000,0.0000,0
0.007,OPEN_LOOP,12.0640,0.0000,0.0000,0
0.008,OPEN_LOOP,12.0720,0.0000,0.0000,0
0.009,OPEN_LOOP,12.0800,0.0000,0.0000,0
0.010,OPEN_LOOP,12.0880,0.0000,0.0000,0
0.011,OPEN_LOOP,12.0960,0.0000,0.0000,0
0.012,OPEN_LOOP,12.1040,0.0000,0.0000,0
0.013,OPEN_LOOP,12.1120,0.0000,0.0000,0
0.014,OPEN_LOOP,12.1200,0.0000,0.0000,0
0.015,OPEN_LOOP,12.1280,0.0000,0.0000,0
0.016,OPEN_LOOP,12.1360,0.0000,0.0000,0
0.017,OPEN_LOOP,12.1440,0.0000,0.0000,0
0.018,OPEN_LOOP,12.1520,0.0000,0.0000,0
0.019,OPEN_LOOP,12.1600,0.0000,0.0000,0
0.020,OPEN_LOOP,12.1680,0.0000,0.0000,0
0.021,OPEN_LOOP,12.1760,0.0000,0.0000,0
0.022,OPEN_LOOP,12.1840,0.0000,0.0000,0
0.023,OPEN_LOOP,12.1920,0.0000,0.0000,0
0.024,OPEN_LOOP,12.2000,0.0000,0.0000,0
0.025,OPEN_LOOP,12.2080,0.0000,0.0000,0
0.026,OPEN_LOOP,12.2160,0.0000,0.0000,0
0.027,OPEN_LOOP,12.2240,0.0000,0.0000,0
0.028,OPEN_LOOP,12.2320,0.0000,0.0000,0
0.029,OPEN_LOOP,12.2400,0.0000,0.0000,0
0.030,OPEN_LOOP,12.2480,0.0000,0.0000,0
0.031,OPEN_LOOP,12.2560,0.0000,0.0000,0
0.032,OPEN_LOOP,12.2640,0.0000,0.0000,0
0.033,OPEN_LOOP,12.2720,0.0000,0.0000,0
0.034,OPEN_LOOP,12.2800,0.0000,0.0000,0
0.035,OPEN_LOOP,12.2880,0.0000,0.0000,0
0.036,OPEN_LOOP,12.2960,0.0000,0.0000,0
0.037,OPEN_LOOP,12.3040,0.0000,0.0000,0
0.038,OPEN_LOOP,12.3120,0.0000,0.0000,0
0.039,OPEN_LOOP,12.3200,0.0000,0.0000,0
0.040,OPEN_LOOP,12.3280,0.0000,0.0000,1
0.041,OPEN_LOOP,12.3360,0.0000,0.0000,1
0.042,OPEN_LOOP,12.3440,0.0000,0.0000,1
0.043,OPEN_LOOP,12.3520,0.0000,0.0000,1
0.044,OPEN_LOOP,12.3600,0.0000,0.0000,1
0.045,OPEN_LOOP,12.3680,0.0000,0.0000,1
0.046,OPEN_LOOP,12.3760,0.0000,0.0000,1
0.047,OPEN_LOOP,12.3840,0.0000,0.0000,1
0.048,OPEN_LOOP,12.3920,0.0000,0.0000,1
0.049,OPEN_LOOP,12.4000,0.0000,0.0000,1
0.050,CURRENT_DC,12.4080,0.0000,0.0000,1
0.051,CURRENT_DC,12.4160,0.5000,0.1600,1
0.052,CURRENT_DC,12.4240,0.5000,0.3168,1
0.053,CURRENT_DC,12.4320,0.5000,0.4705,1
0.054,CURRENT_DC,12.4400,0.5000,0.6211,1
0.055,CURRENT_DC,12.4480,0.5000,0.7686,1
0.056,CURRENT_DC,12.4560,0.5000,0.9133,1
0.057,CURRENT_DC,12.4640,0.5000,1.0550,1
0.058,CURRENT_DC,12.4720,0.5000,1.1939,1
0.059,CURRENT_DC,12.4800,0.5000,1.3300,1
0.060,CURRENT_DC,12.4880,0.5000,1.4634,1
0.061,CURRENT_DC,12.4960,0.5000,1.5941,1
0.062,CURRENT_DC,12.5040,0.5000,1.7223,1
0.063,CURRENT_DC,12.5120,0.5000,1.8478,1
0.064,CURRENT_DC,12.5200,0.5000,1.9709,1
0.065,CURRENT_DC,12.5280,0.5000,2.0914,1
0.066,CURRENT_DC,12.5360,0.5000,2.2096,1
0.067,CURRENT_DC,12.5440,0.5000,2.3254,1
0.068,CURRENT_DC,12.5520,0.5000,2.4389,1
0.069,CURRENT_DC,12.5600,0.5000,2.5501,1
0.070,CURRENT_DC,12.5680,0.5000,2.6591,1
0.071,CURRENT_DC,12.5760,0.5000,2.7660,1
0.072,CURRENT_DC,12.5840,0.5000,2.8706,1
0.073,CURRENT_DC,12.5920,0.5000,2.9732,1
0.074,CURRENT_DC,12.6000,0.5000,3.0738,1
0.075,CURRENT_DC,12.6080,0.5000,3.1723,1
0.076,CURRENT_DC,12.6160,0.5000,3.2688,1
0.077,CURRENT_DC,12.6240,0.5000,3.3635,1
0.078,CURRENT_DC,12.6320,0.5000,3.4562,1
0.079,CURRENT_DC,12.6400,0.5000,3.5471,1
0.080,CURRENT_DC,12.6480,0.5000,3.6361,1
0.081,CURRENT_DC,12.6560,0.5000,3.7234,1
0.082,CURRENT_DC,12.6640,0.5000,3.8089,1
0.083,CURRENT_DC,12.6720,0.5000,3.8928,1
0.084,CURRENT_DC,12.6800,0.5000,3.9749,1
0.085,CURRENT_DC,12.6880,0.5000,4.0554,1
0.086,CURRENT_DC,12.6960,0.5000,4.1343,1
0.087,CURRENT_DC,12.7040,0.5000,4.2116,1
0.088,CURRENT_DC,12.7120,0.5000,4.2874,1
0.089,CURRENT_DC,12.7200,0.5000,4.3616,1
0.090,CURRENT_DC,12.7280,0.5000,4.4344,1
0.091,CURRENT_DC,12.7360,0.5000,4.5057,1
0.092,CURRENT_DC,12.7440,0.5000,4.5756,1
0.093,CURRENT_DC,12.7520,0.5000,4.6441,1
0.094,CURRENT_DC,12.7600,0.5000,4.7112,1
0.095,CURRENT_DC,12.7680,0.5000,4.7770,1
0.096,CURRENT_DC,12.7760,0.5000,4.8414,1
0.097,CURRENT_DC,12.7840,0.5000,4.9046,1
0.098,CURRENT_DC,12.7920,0.5000,4.9665,1
0.099,CURRENT_DC,12.8000,0.5000,5.0272,1
0.100,CURRENT_DC,12.8080,0.5000,5.0866,1
0.101,CURRENT_DC,12.8160,0.5000,5.1449,1
0.102,CURRENT_DC,12.8240,0.5000,5.2020,1
0.103,CURRENT_DC,12.8320,0.5000,5.2580,1
0.104,CURRENT_DC,12.8400,0.5000,5.3128,1
0.105,CURRENT_DC,12.8480,0.5000,5.3666,1
0.106,CURRENT_DC,12.8560,0.5000,5.4192,1
0.107,CURRENT_DC,12.8640,0.5000,5.4708,1
0.108,CURRENT_DC,12.8720,0.5000,5.5214,1
0.109,CURRENT_DC,12.8800,0.5000,5.5710,1
0.110,CURRENT_DC,12.8880,0.5000,5.6196,1
0.111,CURRENT_DC,12.8960,0.5000,5.6672,1
0.112,CURRENT_DC,12.9040,0.5000,5.7138,1
0.113,CURRENT_DC,12.9120,0.5000,5.7596,1
0.114,CURRENT_DC,12.9200,0.5000,5.8044,1
0.115,CURRENT_DC,12.9280,0.5000,5.8483,1
0.116,CURRENT_DC,12.9360,0.5000,5.8913,1
0.117,CURRENT_DC,12.9440,0.5000,5.9335,1
0.118,CURRENT_DC,12.9520,0.5000,5.9748,1
0.119,CURRENT_DC,12.9600,0.5000,6.0153,1
0.120,CURRENT_DC,12.9680,0.5000,6.0550,1
0.121,CURRENT_DC,12.9760,0.5000,6.0939,1
0.122,CURRENT_DC,12.9840,0.5000,6.1320,1
0.123,CURRENT_DC,12.9920,0.5000,6.1694,1
0.124,CURRENT_DC,13.0000,0.5000,6.2060,1
0.125,CURRENT_DC,13.0080,0.5000,6.2419,1
0.126,CURRENT_DC,13.0160,0.5000,6.2771,1
0.127,CURRENT_DC,13.0240,0.5000,6.3115,1
0.128,CURRENT_DC,13.0320,0.5000,6.3453,1
0.129,CURRENT_DC,13.0400,0.5000,6.3784,1
0.130,OUTER_V,13.0480,0.5000,6.4108,1
0.131,OUTER_V,13.0560,0.0786,6.4426,1
0.132,OUTER_V,13.0640,0.0779,6.4737,1
0.133,OUTER_V,13.0720,0.0771,6.5043,1
0.134,OUTER_V,13.0800,0.0763,6.5342,1
0.135,OUTER_V,13.0880,0.0756,6.5635,1
0.136,OUTER_V,13.0960,0.0748,6.5922,1
0.137,OUTER_V,13.1040,0.0741,6.6204,1
0.138,OUTER_V,13.1120,0.0734,6.6480,1
0.139,OUTER_V,13.1200,0.0727,6.6750,1
0.140,OUTER_V,13.1280,0.0720,6.7015,1
0.141,OUTER_V,13.1360,0.0714,6.7275,1
0.142,OUTER_V,13.1440,0.0707,6.7529,1
0.143,OUTER_V,13.1520,0.0701,6.7779,1
0.144,OUTER_V,13.1600,0.0695,6.8023,1
0.145,OUTER_V,13.1680,0.0689,6.8263,1
0.146,OUTER_V,13.1760,0.0683,6.8497,1
0.147,OUTER_V,13.1840,0.0677,6.8728,1
0.148,OUTER_V,13.1920,0.0671,6.8953,1
0.149,OUTER_V,13.2000,0.0665,6.9174,1
0.150,OUTER_V,13.2080,0.0660,6.9390,1
0.151,OUTER_V,13.2160,0.0654,6.9603,1
0.152,OUTER_V,13.2240,0.0649,6.9811,1
0.153,OUTER_V,13.2320,0.0644,7.0014,1
0.154,OUTER_V,13.2400,0.0639,7.0214,1
0.155,OUTER_V,13.2480,0.0634,7.0410,1
0.156,OUTER_V,13.2560,0.0629,7.0602,1
0.157,OUTER_V,13.2640,0.0624,7.0790,1
0.158,OUTER_V,13.2720,0.0620,7.0974,1
0.159,OUTER_V,13.2800,0.0615,7.1154,1
0.160,OUTER_V,13.2880,0.0610,7.1331,1
0.161,OUTER_V,13.2960,0.0606,7.1505,1
0.162,OUTER_V,13.3040,0.0602,7.1674,1
0.163,OUTER_V,13.3120,0.0597,7.1841,1
0.164,OUTER_V,13.3200,0.0593,7.2004,1
0.165,OUTER_V,13.3280,0.0589,7.2164,1
0.166,OUTER_V,13.3360,0.0585,7.2321,1
0.167,OUTER_V,13.3440,0.0581,7.2474,1
0.168,OUTER_V,13.3520,0.0577,7.2625,1
0.169,OUTER_V,13.3600,0.0574,7.2772,1
0.170,OUTER_V,13.3680,0.0570,7.2917,1
0.171,OUTER_V,13.3760,0.0566,7.3059,1
0.172,OUTER_V,13.3840,0.0563,7.3197,1
0.173,OUTER_V,13.3920,0.0559,7.3334,1
0.174,OUTER_V,13.4000,0.0556,7.3467,1
0.175,OUTER_V,13.4080,0.0553,7.3598,1
0.176,OUTER_V,13.4160,0.0549,7.3726,1
0.177,OUTER_V,13.4240,0.0546,7.3851,1
0.178,OUTER_V,13.4320,0.0543,7.3974,1
0.179,OUTER_V,13.4400,0.0540,7.4095,1
0.180,OUTER_V,13.4480,0.0537,7.4213,1
0.181,OUTER_V,13.4560,0.0534,7.4328,1
0.182,OUTER_V,13.4640,0.0531,7.4442,1
0.183,OUTER_V,13.4720,0.0528,7.4553,1
0.184,OUTER_V,13.4800,0.0525,7.4662,1
0.185,OUTER_V,13.4880,0.0523,7.4769,1
0.186,OUTER_V,13.4960,0.0520,7.4873,1
0.187,OUTER_V,13.5040,0.0517,7.4976,1
0.188,OUTER_V,13.5120,0.0515,7.5076,1
0.189,OUTER_V,13.5200,0.0512,7.5175,1
0.190,OUTER_V,13.5280,0.0510,7.5271,1
0.191,OUTER_V,13.5360,0.0508,7.5366,1
0.192,OUTER_V,13.5440,0.0505,7.5459,1
0.193,OUTER_V,13.5520,0.0503,7.5549,1
0.194,OUTER_V,13.5600,0.0501,7.5638,1
0.195,OUTER_V,13.5680,0.0498,7.5726,1
0.196,OUTER_V,13.5760,0.0496,7.5811,1
0.197,OUTER_V,13.5840,0.0494,7.5895,1
0.198,OUTER_V,13.5920,0.0492,7.5977,1
0.199,OUTER_V,13.6000,0.0490,7.6057,1
0.200,OUTER_V,13.6080,0.0488,7.6136,1
0.201,OUTER_V,13.6160,0.0486,7.6214,1
0.202,OUTER_V,13.6240,0.0484,7.6289,1
0.203,OUTER_V,13.6320,0.0482,7.6364,1
0.204,OUTER_V,13.6400,0.0480,7.6436,1
0.205,OUTER_V,13.6480,0.0478,7.6508,1
0.206,OUTER_V,13.6560,0.0477,7.6577,1
0.207,OUTER_V,13.6640,0.0475,7.6646,1
0.208,OUTER_V,13.6720,0.0473,7.6713,1
0.209,OUTER_V,13.6800,0.0471,7.6779,1
0.210,OUTER_V,13.6880,0.0470,7.6843,1
0.211,OUTER_V,13.6960,0.0468,7.6906,1
0.212,OUTER_V,13.7040,0.0467,7.6968,1
0.213,OUTER_V,13.7120,0.0465,7.7029,1
0.214,OUTER_V,13.7200,0.0464,7.7088,1
0.215,OUTER_V,13.7280,0.0462,7.7146,1
0.216,OUTER_V,13.7360,0.0461,7.7203,1
