time_s,reference_a,current_a,u_i,u1,duty,feedforward
0.000000,0.004000,0.000816,0.008160,0.000000,0.000340,0
0.000200,0.008000,-0.098010,0.014815,1.002666,0.000617,0
0.000400,0.012000,-0.269575,0.224867,1.989519,0.009369,0
0.000600,0.016000,-0.491853,0.587420,2.944996,0.024476,0
0.000800,0.020000,-0.746619,1.060452,3.854029,0.044185,0
0.001000,0.024000,-1.018635,1.608807,4.702282,0.067034,0
0.001200,0.028000,-1.295071,2.202705,5.476377,0.091779,0
0.001400,0.032000,-1.565062,2.816659,6.164106,0.117361,0
0.001600,0.036000,-1.819403,3.428684,6.754623,0.142862,0
0.001800,0.040000,-2.050320,4.019742,7.238616,0.167489,0
0.002000,0.044000,-2.251314,4.573349,7.608452,0.190556,0
0.002200,0.048000,-2.417047,5.075310,7.858298,0.211471,0
0.002400,0.052000,-2.543262,5.513538,7.984214,0.229731,0
0.002600,0.056000,-2.626727,5.877939,7.984214,0.244914,0
0.002800,0.060000,-2.665187,6.160337,7.858298,0.256681,0
0.003000,0.064000,-2.657330,6.354424,7.608452,0.264768,0
0.003200,0.068000,-2.602753,6.455724,7.238616,0.268989,0
0.003400,0.072000,-2.501922,6.461560,6.754623,0.269232,0
0.003600,0.076000,-2.356135,6.371014,6.164106,0.265459,0
0.003800,0.080000,-2.167477,6.184886,5.476377,0.257704,0
0.004000,0.084000,-1.938768,5.905629,4.702282,0.246068,0
0.004200,0.088000,-1.673505,5.537283,3.854029,0.230720,0
0.004400,0.092000,-1.375792,5.085376,2.944996,0.211891,0
0.004600,0.096000,-1.050272,4.556821,1.989519,0.189868,0
0.004800,0.100000,-0.702046,3.959792,1.002666,0.164991,0
0.005000,0.104000,-0.336585,3.303582,0.000000,0.137649,0
0.005200,0.108000,0.040355,2.598444,-1.002666,0.108269,0
0.005400,0.112000,0.422832,1.855429,-1.989519,0.077310,0
0.005600,0.116000,0.804811,1.086202,-2.944996,0.045258,0
0.005800,0.120000,1.180258,0.302853,-3.854029,0.012619,0
0.006000,0.124000,1.543244,-0.482293,-4.702282,-0.020096,0
0.006200,0.128000,1.888032,-1.256874,-5.476377,-0.052370,0
0.006400,0.132000,2.209172,-2.008692,-6.164106,-0.083695,0
0.006600,0.136000,2.501586,-2.725898,-6.754623,-0.113579,0
0.006800,0.140000,2.760649,-3.397190,-7.238616,-0.141550,0
0.007000,0.144000,2.982264,-4.011982,-7.608452,-0.167166,0
0.007200,0.148000,3.162922,-4.560582,-7.858298,-0.190024,0
0.007400,0.152000,3.299764,-5.034336,-7.984214,-0.209764,0
0.007600,0.156000,3.390620,-5.425770,-7.984214,-0.226074,0
0.007800,0.160000,3.434048,-5.728707,-7.858298,-0.238696,0
0.008000,0.164000,3.429355,-5.938365,-7.608452,-0.247432,0
0.008200,0.168000,3.376605,-6.051432,-7.238616,-0.252143,0
0.008400,0.172000,3.276626,-6.066117,-6.754623,-0.252755,0
0.008600,0.176000,3.130987,-5.982183,-6.164106,-0.249258,0
0.008800,0.180000,2.941981,-5.800945,-5.476377,-0.241706,0
0.009000,0.184000,2.712585,-5.525252,-4.702282,-0.230219,0
0.009200,0.188000,2.446414,-5.159443,-3.854029,-0.214977,0
0.009400,0.192000,2.147665,-4.709278,-2.944996,-0.196220,0
0.009600,0.196000,1.821049,-4.181847,-1.989519,-0.174244,0
0.009800,0.200000,1.471717,-3.585457,-1.002666,-0.149394,0
0.010000,0.204000,1.105181,-2.929503,-0.000000,-0.122063,0
0.010200,0.208000,0.727224,-2.224318,1.002666,-0.092680,0
0.010400,0.212000,0.343810,-1.481012,1.989519,-0.061709,0
0.010600,0.216000,-0.039010,-0.711296,2.944996,-0.029637,0
0.010800,0.220000,-0.415192,0.072704,3.854029,0.003029,0
0.011000,0.224000,-0.778797,0.858636,4.702282,0.035776,0
0.011200,0.228000,-1.124083,1.634118,5.476377,0.068088,0
0.011400,0.232000,-1.445596,2.386933,6.164106,0.099456,0
0.011600,0.236000,-1.738256,3.105223,6.754623,0.129384,0
0.011800,0.240000,-1.997438,3.777674,7.238616,0.157403,0
0.012000,0.244000,-2.219042,4.393694,7.608452,0.183071,0
0.012200,0.248000,-2.399561,4.943584,7.858298,0.205983,0
0.012400,0.252000,-2.536136,5.418685,7.984214,0.225779,0
0.012600,0.256000,-2.626598,5.811520,7.984214,0.242147,0
0.012800,0.260000,-2.669507,6.115909,7.858298,0.254830,0
0.013000,0.264000,-2.664171,6.327067,7.608452,0.263628,0
0.013200,0.268000,-2.610656,6.441680,7.238616,0.268403,0
0.013400,0.272000,-2.509790,6.457957,6.754623,0.269082,0
0.013600,0.276000,-2.363145,6.375656,6.164106,0.265652,0
0.013800,0.280000,-2.173016,6.196093,5.476377,0.258171,0
0.014000,0.284000,-1.942382,5.922116,4.702282,0.246755,0
0.014200,0.288000,-1.674860,5.558063,3.854029,0.231586,0
0.014400,0.292000,-1.374647,5.109692,2.944996,0.212904,0
0.014600,0.296000,-1.046457,4.584093,1.989519,0.191004,0
0.014800,0.300000,-0.695444,3.989572,1.002666,0.166232,0
0.015000,0.304000,-0.327119,3.335523,-0.000000,0.138980,0
0.015200,0.308000,0.052731,2.632279,-1.002666,0.109678,0
0.015400,0.312000,0.438141,1.890948,-1.989519,0.078790,0
0.015600,0.316000,0.823058,1.123242,-2.944996,0.046802,0
0.015800,0.320000,1.201437,0.341286,-3.854029,0.014220,0
0.016000,0.324000,1.567336,-0.442568,-4.702282,-0.018440,0
0.016200,0.328000,1.915013,-1.215941,-5.476377,-0.050664,0
0.016400,0.332000,2.239012,-1.966615,-6.164106,-0.081942,0
0.016600,0.336000,2.534250,-2.682732,-6.754623,-0.111781,0
0.016800,0.340000,2.796101,-3.352979,-7.238616,-0.139707,0
0.017000,0.344000,3.020465,-3.966766,-7.608452,-0.165282,0
0.017200,0.348000,3.203832,-4.514392,-7.858298,-0.188100,0
0.017400,0.352000,3.343342,-4.987200,-7.984214,-0.207800,0
0.017600,0.356000,3.436825,-5.377713,-7.984214,-0.224071,0
0.017800,0.360000,3.482838,-5.679752,-7.858298,-0.236656,0
0.018000,0.364000,3.480688,-5.888532,-7.608452,-0.245356,0
0.018200,0.368000,3.430442,-6.000740,-7.238616,-0.250031,0
0.018400,0.372000,3.332924,-6.014584,-6.754623,-0.250608,0
0.018600,0.376000,3.189706,-5.929825,-6.164106,-0.247076,0
0.018800,0.380000,3.003080,-5.747777,-5.476377,-0.239491,0
0.019000,0.384000,2.776025,-5.471289,-4.702282,-0.227970,0
0.019200,0.388000,2.512157,-5.104701,-3.854029,-0.212696,0
0.019400,0.392000,2.215672,-4.653770,-2.944996,-0.193907,0
0.019600,0.396000,1.891281,-4.125587,-1.989519,-0.171899,0
0.019800,0.400000,1.544138,-3.528457,-1.002666,-0.147019,0
0.020000,0.404000,1.179754,-2.871776,-0.000000,-0.119657,0
0.020200,0.408000,0.803912,-2.165877,1.002666,-0.090245,0
0.020400,0.412000,0.422577,-1.421870,1.989519,-0.059245,0
0.020600,0.416000,0.041802,-0.651464,2.944996,-0.027144,0
0.020800,0.420000,-0.332369,0.133214,3.854029,0.005551,0
0.021000,0.424000,-0.693998,0.919812,4.702282,0.038325,0
0.021200,0.428000,-1.037341,1.695949,5.476377,0.070665,0
0.021400,0.432000,-1.356944,2.449408,6.164106,0.102059,0
0.021600,0.436000,-1.647726,3.168331,6.754623,0.132014,0
0.021800,0.440000,-1.905060,3.841405,7.238616,0.160059,0
0.022000,0.444000,-2.124849,4.458037,7.608452,0.185752,0
0.022200,0.448000,-2.303584,5.008528,7.858298,0.208689,0
0.022400,0.452000,-2.438404,5.484220,7.984214,0.228509,0
0.022600,0.456000,-2.527141,5.877637,7.984214,0.244902,0
0.022800,0.460000,-2.568354,6.182597,7.858298,0.257608,0
0.023000,0.464000,-2.561350,6.394318,7.608452,0.266430,0
0.023200,0.468000,-2.506196,6.509483,7.238616,0.271228,0
0.023400,0.472000,-2.403718,6.526303,6.754623,0.271929,0
0.023600,0.476000,-2.255489,6.444536,6.164106,0.268522,0
0.023800,0.480000,-2.063803,6.265498,5.476377,0.261062,0
0.024000,0.484000,-1.831637,5.992037,4.702282,0.249668,0
0.024200,0.488000,-1.562609,5.628491,3.854029,0.234520,0
0.024400,0.492000,-1.260916,5.180619,2.944996,0.215859,0
0.024600,0.496000,-0.931271,4.655510,1.989519,0.193980,0
0.024800,0.500000,-0.578827,4.061471,1.002666,0.169228,0
0.025000,0.504000,-0.209096,3.407896,-0.000000,0.141996,0
0.025200,0.508000,0.172137,2.705118,-1.002666,0.112713,0
0.025400,0.512000,0.558907,1.964246,-1.989519,0.081844,0
0.025600,0.516000,0.945160,1.196991,-2.944996,0.049875,0
0.025800,0.520000,1.324853,0.415477,-3.854029,0.017312,0
0.026000,0.524000,1.692044,-0.367942,-4.702282,-0.015331,0
0.026200,0.528000,2.040991,-1.140887,-5.476377,-0.047537,0
0.026400,0.532000,2.366238,-1.891140,-6.164106,-0.078797,0
0.026600,0.536000,2.662704,-2.606843,-6.754623,-0.108618,0
0.026800,0.540000,2.925762,-3.276684,-7.238616,-0.136528,0
0.027000,0.544000,3.151312,-3.890070,-7.608452,-0.162086,0
0.027200,0.548000,3.335846,-4.437303,-7.858298,-0.184888,0
0.027400,0.552000,3.476503,-4.909725,-7.984214,-0.204572,0
0.027600,0.556000,3.571113,-5.299858,-7.984214,-0.220827,0
0.027800,0.560000,3.618235,-5.601523,-7.858298,-0.233397,0
0.028000,0.564000,3.617175,-5.809936,-7.608452,-0.242081,0
0.028200,0.568000,3.567999,-5.921783,-7.238616,-0.246741,0
0.028400,0.572000,3.471534,-5.935272,-6.754623,-0.247303,0
0.028600,0.576000,3.329352,-5.850164,-6.164106,-0.243757,0
0.028800,0.580000,3.143745,-5.667773,-5.476377,-0.236157,0
0.029000,0.584000,2.917691,-5.390948,-4.702282,-0.224623,0
0.029200,0.588000,2.654806,-5.024028,-3.854029,-0.209335,0
0.029400,0.592000,2.359289,-4.572772,-2.944996,-0.190532,0
0.029600,0.596000,2.035849,-4.044267,-1.989519,-0.168511,0
0.029800,0.600000,1.689641,-3.446823,-1.002666,-0.143618,0
0.030000,0.604000,1.326176,-2.789832,0.000000,-0.116243,0
0.030200,0.608000,0.951238,-2.083629,1.002666,-0.086818,0
0.030400,0.612000,0.570792,-1.339322,1.989519,-0.055805,0
0.030600,0.616000,0.190890,-0.568621,2.944996,-0.023693,0
0.030800,0.620000,-0.182423,0.216346,3.854029,0.009014,0
0.031000,0.624000,-0.543207,1.003228,4.702282,0.041801,0
0.031200,0.628000,-0.885720,1.779645,5.476377,0.074152,0
0.031400,0.632000,-1.204506,2.533380,6.164106,0.105557,0
0.031600,0.636000,-1.494486,3.252573,6.754623,0.135524,0
0.031800,0.640000,-1.751032,3.925912,7.238616,0.163580,0
0.032000,0.644000,-1.970045,4.542806,7.608452,0.189284,0
0.032200,0.648000,-2.148017,5.093553,7.858298,0.212231,0
0.032400,0.652000,-2.282088,5.569499,7.984214,0.232062,0
0.032600,0.656000,-2.370089,5.963163,7.984214,0.248465,0
0.032800,0.660000,-2.410577,6.268368,7.858298,0.261182,0
0.033000,0.664000,-2.402861,6.480328,7.608452,0.270014,0
0.033200,0.668000,-2.347006,6.595730,7.238616,0.274822,0
0.033400,0.672000,-2.243840,6.612781,6.754623,0.275533,0
0.033600,0.676000,-2.094935,6.531243,6.164106,0.272135,0
0.033800,0.680000,-1.902583,6.352429,5.476377,0.264685,0
0.034000,0.684000,-1.669763,6.079188,4.702282,0.253300,0
0.034200,0.688000,-1.400092,5.715859,3.854029,0.238161,0
0.034400,0.692000,-1.097767,5.268201,2.944996,0.219508,0
0.034600,0.696000,-0.767500,4.743301,1.989519,0.197638,0
0.034800,0.700000,-0.414445,4.149468,1.002666,0.172895,0
0.035000,0.704000,-0.044113,3.496095,-0.000000,0.145671,0
0.035200,0.708000,0.337711,2.793516,-1.002666,0.116397,0
0.035400,0.712000,0.725061,2.052840,-1.989519,0.085535,0
0.035600,0.716000,1.111885,1.285777,-2.944996,0.053574,0
0.035800,0.720000,1.492139,0.504453,-3.854029,0.021019,0
0.036000,0.724000,1.859883,-0.278781,-4.702282,-0.011616,0
0.036200,0.728000,2.209372,-1.051542,-5.476377,-0.043814,0
0.036400,0.732000,2.535152,-1.801616,-6.164106,-0.075067,0
0.036600,0.736000,2.832143,-2.517143,-6.754623,-0.104881,0
0.036800,0.740000,3.095716,-3.186809,-7.238616,-0.132784,0
0.037000,0.744000,3.321773,-3.800025,-7.608452,-0.158334,0
0.037200,0.748000,3.506805,-4.347090,-7.858298,-0.181129,0
0.037400,0.752000,3.647952,-4.819346,-7.984214,-0.200806,0
0.037600,0.756000,3.743044,-5.209317,-7.984214,-0.217055,0
0.037800,0.760000,3.790639,-5.510823,-7.858298,-0.229618,0
0.038000,0.764000,3.790045,-5.719079,-7.608452,-0.238295,0
0.038200,0.768000,3.741327,-5.830772,-7.238616,-0.242949,0
0.038400,0.772000,3.645312,-5.844109,-6.754623,-0.243505,0
0.038600,0.776000,3.503572,-5.758852,-6.164106,-0.239952,0
0.038800,0.780000,3.318399,-5.576314,-5.476377,-0.232346,0
0.039000,0.784000,3.092773,-5.299346,-4.702282,-0.220806,0
0.039200,0.788000,2.830309,-4.932284,-3.854029,-0.205512,0
0.039400,0.792000,2.535204,-4.480888,-2.944996,-0.186704,0
0.039600,0.796000,2.212171,-3.952247,-1.989519,-0.164677,0
0.039800,0.800000,1.866362,-3.354668,-1.002666,-0.139778,0
0.040000,0.804000,1.503290,-2.697545,-0.000000,-0.112398,0
0.040200,0.808000,1.128738,-1.991211,1.002666,-0.082967,0
0.040400,0.812000,0.748671,-1.246776,1.989519,-0.051949,0
0.040600,0.816000,0.369143,-0.475950,2.944996,-0.019831,0
0.040800,0.820000,-0.003803,0.309140,3.854029,0.012881,0
0.041000,0.824000,-0.364227,1.096145,4.702282,0.045673,0
0.041200,0.828000,-0.706385,1.872681,5.476377,0.078028,0
0.041400,0.832000,-1.024823,2.626533,6.164106,0.109439,0
0.041600,0.836000,-1.314460,3.345842,6.754623,0.139410,0
0.041800,0.840000,-1.570669,4.019294,7.238616,0.167471,0
0.042000,0.844000,-1.789351,4.636299,7.608452,0.193179,0
0.042200,0.848000,-1.966998,5.187157,7.858298,0.216132,0
0.042400,0.852000,-2.100748,5.663210,7.984214,0.235967,0
0.042600,0.856000,-2.188434,6.056981,7.984214,0.252374,0
0.042800,0.860000,-2.228613,6.362290,7.858298,0.265095,0
0.043000,0.864000,-2.220592,6.574353,7.608452,0.273931,0
0.043200,0.868000,-2.164439,6.689855,7.238616,0.278744,0
0.043400,0.872000,-2.060979,6.707006,6.754623,0.279459,0
0.043600,0.876000,-1.911784,6.625564,6.164106,0.276065,0
0.043800,0.880000,-1.719148,6.446846,5.476377,0.268619,0
0.044000,0.884000,-1.486049,6.173700,4.702282,0.257237,0
0.044200,0.888000,-1.216103,5.810464,3.854029,0.242103,0
0.044400,0.892000,-0.913508,5.362896,2.944996,0.223454,0
0.044600,0.896000,-0.582976,4.838086,1.989519,0.201587,0
0.044800,0.900000,-0.229659,4.244341,1.002666,0.176848,0
0.045000,0.904000,0.140929,3.591055,-0.000000,0.149627,0
0.045200,0.908000,0.523005,2.888561,-1.002666,0.120357,0
0.045400,0.912000,0.910604,2.147968,-1.989519,0.089499,0
0.045600,0.916000,1.297672,1.380987,-2.944996,0.057541,0
0.045800,0.920000,1.678166,0.599744,-3.854029,0.024989,0
0.046000,0.924000,2.046145,-0.183410,-4.702282,-0.007642,0
0.046200,0.928000,2.395866,-0.956094,-5.476377,-0.039837,0
0.046400,0.932000,2.721874,-1.706091,-6.164106,-0.071087,0
0.046600,0.936000,3.019088,-2.421542,-6.754623,-0.100898,0
0.046800,0.940000,3.282882,-3.091134,-7.238616,-0.128797,0
0.047000,0.944000,3.509156,-3.704277,-7.608452,-0.154345,0
0.047200,0.948000,3.694401,-4.251270,-7.858298,-0.177136,0
0.047400,0.952000,3.835756,-4.723456,-7.984214,-0.196811,0
0.047600,0.956000,3.931054,-5.113358,-7.984214,-0.213057,0
0.047800,0.960000,3.978852,-5.414796,-7.858298,-0.225616,0
0.048000,0.964000,3.978456,-5.622985,-7.608452,-0.234291,0
0.048200,0.968000,3.929933,-5.734611,-7.238616,-0.238942,0
0.048400,0.972000,3.834111,-5.747884,-6.754623,-0.239495,0
0.048600,0.976000,3.692559,-5.662563,-6.164106,-0.235940,0
0.048800,0.980000,3.507573,-5.479963,-5.476377,-0.228332,0
0.049000,0.984000,3.282129,-5.202933,-4.702282,-0.216789,0
0.049200,0.988000,3.019845,-4.835810,-3.854029,-0.201492,0
0.049400,0.992000,2.724916,-4.384355,-2.944996,-0.182681,0
0.049600,0.996000,2.402057,-3.855656,-1.989519,-0.160652,0
0.049800,1.000000,2.056419,-3.258019,-1.002666,-0.135751,0
0.050000,1.000000,1.692698,-2.608999,0.000000,-0.108708,0
0.050200,1.000000,1.316870,-1.909266,1.002666,-0.079553,0
0.050400,1.000000,0.935046,-1.170284,1.989519,-0.048762,0
0.050600,1.000000,0.553390,-0.404038,2.944996,-0.016835,0
0.050800,1.000000,0.178032,0.377138,3.854029,0.015714,0
0.051000,1.000000,-0.185025,1.160734,4.702282,0.048364,0
0.051200,1.000000,-0.529986,1.934248,5.476377,0.080594,0
0.051400,1.000000,-0.851361,2.685370,6.164106,0.111890,0
0.051600,1.000000,-1.144038,3.402173,6.754623,0.141757,0
0.051800,1.000000,-1.403369,4.073289,7.238616,0.169720,0
0.052000,1.000000,-1.625237,4.688085,7.608452,0.195337,0
0.052200,1.000000,-1.806122,5.236831,7.858298,0.218201,0
0.052400,1.000000,-1.943152,5.710846,7.984214,0.237952,0
0.052600,1.000000,-2.034153,6.102633,7.984214,0.254276,0
0.052800,1.000000,-2.077675,6.406000,7.858298,0.266917,0
0.053000,1.000000,-2.073021,6.616152,7.608452,0.275673,0
0.053200,1.000000,-2.020255,6.729765,7.238616,0.280407,0
0.053400,1.000000,-1.920201,6.745043,6.754623,0.281043,0
0.053600,1.000000,-1.774427,6.661742,6.164106,0.277573,0
0.053800,1.000000,-1.585226,6.481172,5.476377,0.270049,0
0.054000,1.000000,-1.355575,6.206179,4.702282,0.258591,0
0.054200,1.000000,-1.089089,5.841100,3.854029,0.243379,0
0.054400,1.000000,-0.789965,5.391692,2.944996,0.224654,0
0.054600,1.000000,-0.462915,4.865043,1.989519,0.202710,0
0.054800,1.000000,-0.113090,4.269458,1.002666,0.177894,0
0.055000,1.000000,0.253998,3.614332,-0.000000,0.150597,0
0.055200,1.000000,0.632564,2.909996,-1.002666,0.121250,0
0.055400,1.000000,1.016644,2.167561,-1.989519,0.090315,0
0.055600,1.000000,1.400185,1.398736,-2.944996,0.058281,0
0.055800,1.000000,1.777143,0.615646,-3.854029,0.025652,0
0.056000,1.000000,2.141579,-0.169356,-4.702282,-0.007057,0
0.056200,1.000000,2.487749,-0.943890,-5.476377,-0.039329,0
0.056400,1.000000,2.810198,-1.695739,-6.164106,-0.070656,0
0.056600,1.000000,3.103846,-2.413046,-6.754623,-0.100544,0
0.056800,1.000000,3.364065,-3.084495,-7.238616,-0.128521,0
0.057000,1.000000,3.586758,-3.699498,-7.608452,-0.154146,0
0.057200,1.000000,3.768414,-4.248352,-7.858298,-0.177015,0
0.057400,1.000000,3.906175,-4.722402,-7.984214,-0.196767,0
0.057600,1.000000,3.997870,-5.114170,-7.984214,-0.213090,0
0.057800,1.000000,4.042059,-5.417476,-7.858298,-0.225728,0
0.058000,1.000000,4.038048,-5.627536,-7.608452,-0.234481,0
0.058200,1.000000,3.985903,-5.741035,-7.238616,-0.239210,0
0.058400,1.000000,3.886452,-5.756183,-6.754623,-0.239841,0
0.058600,1.000000,3.741266,-5.672739,-6.164106,-0.236364,0
0.058800,1.000000,3.552639,-5.492018,-5.476377,-0.228834,0
0.059000,1.000000,3.323549,-5.216868,-4.702282,-0.217370,0
0.059200,1.000000,3.057611,-4.851629,-3.854029,-0.202151,0
0.059400,1.000000,2.759024,-4.402059,-2.944996,-0.183419,0
0.059600,1.000000,2.432500,-3.875246,-1.989519,-0.161469,0
0.059800,1.000000,2.083192,-3.279498,-1.002666,-0.136646,0
0.060000,1.000000,1.716612,-2.624209,0.000000,-0.109342,0
0.060200,1.000000,1.338543,-1.919713,1.002666,-0.079988,0
0.060400,1.000000,0.954952,-1.177118,1.989519,-0.049047,0
0.060600,1.000000,0.571892,-0.408134,2.944996,-0.017006,0
0.060800,1.000000,0.195405,0.375112,3.854029,0.015630,0
0.061000,1.000000,-0.168566,1.160268,4.702282,0.048345,0
0.061200,1.000000,-0.514280,1.934954,5.476377,0.080623,0
0.061400,1.000000,-0.836282,2.686953,6.164106,0.111956,0
0.061600,1.000000,-1.129489,3.404407,6.754623,0.141850,0
0.061800,1.000000,-1.389276,4.076002,7.238616,0.169833,0
0.062000,1.000000,-1.611543,4.691147,7.608452,0.195464,0
0.062200,1.000000,-1.792781,5.240142,7.858298,0.218339,0
