time_s,reference_a,current_a,u_i,u1,duty,feedforward
0.000000,0.004000,0.000816,0.008160,0.000000,0.000340,1
0.000200,0.008000,0.002257,0.014815,1.002666,0.042395,1
0.000400,0.012000,0.004176,0.020324,1.989519,0.083743,1
0.000600,0.016000,0.006463,0.024958,2.944996,0.123748,1
0.000800,0.020000,0.009033,0.028925,3.854029,0.161790,1
0.001000,0.024000,0.011819,0.032385,4.702282,0.197278,1
0.001200,0.028000,0.014774,0.035459,5.476377,0.229660,1
0.001400,0.032000,0.017859,0.038238,6.164106,0.258431,1
0.001600,0.036000,0.021046,0.040793,6.754623,0.283142,1
0.001800,0.040000,0.024311,0.043179,7.238616,0.303408,1
0.002000,0.044000,0.027639,0.045435,7.608452,0.318912,1
0.002200,0.048000,0.031017,0.047594,7.858298,0.329412,1
0.002400,0.052000,0.034434,0.049678,7.984214,0.334746,1
0.002600,0.056000,0.037883,0.051707,7.984214,0.334830,1
0.002800,0.060000,0.041358,0.053694,7.858298,0.329666,1
0.003000,0.064000,0.044855,0.055649,7.608452,0.319338,1
0.003200,0.068000,0.048370,0.057581,7.238616,0.304008,1
0.003400,0.072000,0.051901,0.059495,6.754623,0.283922,1
0.003600,0.076000,0.055446,0.061397,6.164106,0.259396,1
0.003800,0.080000,0.059003,0.063290,5.476377,0.230819,1
0.004000,0.084000,0.062570,0.065176,4.702282,0.198644,1
0.004200,0.088000,0.066147,0.067059,3.854029,0.163379,1
0.004400,0.092000,0.069734,0.068938,2.944996,0.125581,1
0.004600,0.096000,0.073329,0.070816,1.989519,0.085847,1
0.004800,0.100000,0.076932,0.072693,1.002666,0.044807,1
0.005000,0.104000,0.080542,0.074570,0.000000,0.003107,1
0.005200,0.108000,0.084160,0.076447,-1.002666,-0.038592,1
0.005400,0.112000,0.087784,0.078326,-1.989519,-0.079633,1
0.005600,0.116000,0.091416,0.080205,-2.944996,-0.119366,1
0.005800,0.120000,0.095053,0.082086,-3.854029,-0.157164,1
0.006000,0.124000,0.098698,0.083968,-4.702282,-0.192430,1
0.006200,0.128000,0.102348,0.085852,-5.476377,-0.224605,1
0.006400,0.132000,0.106004,0.087737,-6.164106,-0.253182,1
0.006600,0.136000,0.109666,0.089625,-6.754623,-0.277708,1
0.006800,0.140000,0.113334,0.091513,-7.238616,-0.297796,1
0.007000,0.144000,0.117008,0.093404,-7.608452,-0.313127,1
0.007200,0.148000,0.120687,0.095296,-7.858298,-0.323458,1
0.007400,0.152000,0.124372,0.097190,-7.984214,-0.328626,1
0.007600,0.156000,0.128062,0.099086,-7.984214,-0.328547,1
0.007800,0.160000,0.131757,0.100984,-7.858298,-0.323221,1
0.008000,0.164000,0.135458,0.102883,-7.608452,-0.312732,1
0.008200,0.168000,0.139163,0.104784,-7.238616,-0.297243,1
0.008400,0.172000,0.142874,0.106686,-6.754623,-0.276997,1
0.008600,0.176000,0.146589,0.108590,-6.164106,-0.252313,1
0.008800,0.180000,0.150309,0.110496,-5.476377,-0.223578,1
0.009000,0.184000,0.154034,0.112403,-4.702282,-0.191245,1
0.009200,0.188000,0.157764,0.114312,-3.854029,-0.155822,1
0.009400,0.192000,0.161498,0.116223,-2.944996,-0.117866,1
0.009600,0.196000,0.165236,0.118135,-1.989519,-0.077974,1
0.009800,0.200000,0.168979,0.120048,-1.002666,-0.036776,1
0.010000,0.204000,0.172727,0.121963,-0.000000,0.005082,1
0.010200,0.208000,0.176478,0.123879,1.002666,0.046939,1
0.010400,0.212000,0.180234,0.125797,1.989519,0.088138,1
0.010600,0.216000,0.183994,0.127716,2.944996,0.128030,1
0.010800,0.220000,0.187758,0.129636,3.854029,0.165986,1
0.011000,0.224000,0.191526,0.131558,4.702282,0.201410,1
0.011200,0.228000,0.195298,0.133481,5.476377,0.233744,1
0.011400,0.232000,0.199073,0.135406,6.164106,0.262480,1
0.011600,0.236000,0.202853,0.137331,6.754623,0.287165,1
0.011800,0.240000,0.206636,0.139258,7.238616,0.307411,1
0.012000,0.244000,0.210423,0.141186,7.608452,0.322902,1
0.012200,0.248000,0.214213,0.143116,7.858298,0.333392,1
0.012400,0.252000,0.218007,0.145046,7.984214,0.338719,1
0.012600,0.256000,0.221805,0.146978,7.984214,0.338800,1
0.012800,0.260000,0.225606,0.148911,7.858298,0.333634,1
0.013000,0.264000,0.229410,0.150845,7.608452,0.323304,1
0.013200,0.268000,0.233217,0.152780,7.238616,0.307975,1
0.013400,0.272000,0.237028,0.154716,6.754623,0.287889,1
0.013600,0.276000,0.240842,0.156654,6.164106,0.263365,1
0.013800,0.280000,0.244659,0.158592,5.476377,0.234790,1
0.014000,0.284000,0.248479,0.160532,4.702282,0.202617,1
0.014200,0.288000,0.252303,0.162472,3.854029,0.167354,1
0.014400,0.292000,0.256129,0.164413,2.944996,0.129559,1
0.014600,0.296000,0.259958,0.166356,1.989519,0.089828,1
0.014800,0.300000,0.263790,0.168299,1.002666,0.048790,1
0.015000,0.304000,0.267625,0.170244,-0.000000,0.007093,1
0.015200,0.308000,0.271462,0.172189,-1.002666,-0.034603,1
0.015400,0.312000,0.275303,0.174135,-1.989519,-0.075641,1
0.015600,0.316000,0.279146,0.176082,-2.944996,-0.115371,1
0.015800,0.320000,0.282992,0.178030,-3.854029,-0.153167,1
0.016000,0.324000,0.286840,0.179979,-4.702282,-0.188429,1
0.016200,0.328000,0.290691,0.181929,-5.476377,-0.220602,1
0.016400,0.332000,0.294544,0.183879,-6.164106,-0.249176,1
0.016600,0.336000,0.298400,0.185831,-6.754623,-0.273700,1
0.016800,0.340000,0.302258,0.187783,-7.238616,-0.293785,1
0.017000,0.344000,0.306119,0.189736,-7.608452,-0.309113,1
0.017200,0.348000,0.309982,0.191690,-7.858298,-0.319442,1
0.017400,0.352000,0.313848,0.193645,-7.984214,-0.324607,1
0.017600,0.356000,0.317715,0.195600,-7.984214,-0.324526,1
0.017800,0.360000,0.321585,0.197556,-7.858298,-0.319198,1
0.018000,0.364000,0.325457,0.199513,-7.608452,-0.308706,1
0.018200,0.368000,0.329331,0.201471,-7.238616,-0.293214,1
0.018400,0.372000,0.333208,0.203429,-6.754623,-0.272966,1
0.018600,0.376000,0.337086,0.205388,-6.164106,-0.248280,1
0.018800,0.380000,0.340967,0.207348,-5.476377,-0.219543,1
0.019000,0.384000,0.344849,0.209308,-4.702282,-0.187207,1
0.019200,0.388000,0.348733,0.211269,-3.854029,-0.151782,1
0.019400,0.392000,0.352620,0.213231,-2.944996,-0.113824,1
0.019600,0.396000,0.356508,0.215193,-1.989519,-0.073930,1
0.019800,0.400000,0.360398,0.217156,-1.002666,-0.032730,1
0.020000,0.404000,0.364291,0.219120,-0.000000,0.009130,1
0.020200,0.408000,0.368184,0.221084,1.002666,0.050990,1
0.020400,0.412000,0.372080,0.223049,1.989519,0.092190,1
0.020600,0.416000,0.375978,0.225014,2.944996,0.132084,1
0.020800,0.420000,0.379877,0.226980,3.854029,0.170042,1
0.021000,0.424000,0.383778,0.228947,4.702282,0.205468,1
0.021200,0.428000,0.387680,0.230914,5.476377,0.237804,1
0.021400,0.432000,0.391584,0.232882,6.164106,0.266541,1
0.021600,0.436000,0.395490,0.234850,6.754623,0.291228,1
0.021800,0.440000,0.399397,0.236819,7.238616,0.311476,1
0.022000,0.444000,0.403306,0.238788,7.608452,0.326968,1
0.022200,0.448000,0.407217,0.240758,7.858298,0.337461,1
0.022400,0.452000,0.411129,0.242728,7.984214,0.342789,1
0.022600,0.456000,0.415042,0.244699,7.984214,0.342871,1
0.022800,0.460000,0.418957,0.246671,7.858298,0.337707,1
0.023000,0.464000,0.422874,0.248642,7.608452,0.327379,1
0.023200,0.468000,0.426792,0.250615,7.238616,0.312051,1
0.023400,0.472000,0.430711,0.252588,6.754623,0.291967,1
0.023600,0.476000,0.434631,0.254561,6.164106,0.267444,1
0.023800,0.480000,0.438553,0.256534,5.476377,0.238871,1
0.024000,0.484000,0.442476,0.258509,4.702282,0.206700,1
0.024200,0.488000,0.446401,0.260483,3.854029,0.171438,1
0.024400,0.492000,0.450327,0.262458,2.944996,0.133644,1
0.024600,0.496000,0.454254,0.264433,1.989519,0.093915,1
0.024800,0.500000,0.458182,0.266409,1.002666,0.052878,1
0.025000,0.504000,0.462111,0.268386,-0.000000,0.011183,1
0.025200,0.508000,0.466042,0.270362,-1.002666,-0.030513,1
0.025400,0.512000,0.469974,0.272339,-1.989519,-0.071549,1
0.025600,0.516000,0.473907,0.274317,-2.944996,-0.111278,1
0.025800,0.520000,0.477841,0.276294,-3.854029,-0.149072,1
0.026000,0.524000,0.481776,0.278273,-4.702282,-0.184334,1
0.026200,0.528000,0.485712,0.280251,-5.476377,-0.216505,1
0.026400,0.532000,0.489650,0.282230,-6.164106,-0.245078,1
0.026600,0.536000,0.493588,0.284209,-6.754623,-0.269601,1
0.026800,0.540000,0.497528,0.286189,-7.238616,-0.289684,1
0.027000,0.544000,0.501468,0.288169,-7.608452,-0.305012,1
0.027200,0.548000,0.505410,0.290149,-7.858298,-0.315340,1
0.027400,0.552000,0.509352,0.292130,-7.984214,-0.320504,1
0.027600,0.556000,0.513296,0.294111,-7.984214,-0.320421,1
0.027800,0.560000,0.517240,0.296092,-7.858298,-0.315092,1
0.028000,0.564000,0.521185,0.298073,-7.608452,-0.304599,1
0.028200,0.568000,0.525132,0.300055,-7.238616,-0.289107,1
0.028400,0.572000,0.529079,0.302038,-6.754623,-0.268858,1
0.028600,0.576000,0.533027,0.304020,-6.164106,-0.244170,1
0.028800,0.580000,0.536976,0.306003,-5.476377,-0.215432,1
0.029000,0.584000,0.540926,0.307986,-4.702282,-0.183096,1
0.029200,0.588000,0.544876,0.309969,-3.854029,-0.147669,1
0.029400,0.592000,0.548828,0.311953,-2.944996,-0.109710,1
0.029600,0.596000,0.552780,0.313937,-1.989519,-0.069816,1
0.029800,0.600000,0.556733,0.315921,-1.002666,-0.028614,1
0.030000,0.604000,0.560687,0.317906,0.000000,0.013246,1
0.030200,0.608000,0.564642,0.319890,1.002666,0.055107,1
0.030400,0.612000,0.568597,0.321875,1.989519,0.096308,1
0.030600,0.616000,0.572553,0.323860,2.944996,0.136202,1
0.030800,0.620000,0.576510,0.325846,3.854029,0.174161,1
0.031000,0.624000,0.580468,0.327832,4.702282,0.209588,1
0.031200,0.628000,0.584426,0.329818,5.476377,0.241925,1
0.031400,0.632000,0.588385,0.331804,6.164106,0.270663,1
0.031600,0.636000,0.592345,0.333790,6.754623,0.295351,1
0.031800,0.640000,0.596306,0.335777,7.238616,0.315600,1
0.032000,0.644000,0.600267,0.337764,7.608452,0.331092,1
0.032200,0.648000,0.604228,0.339751,7.858298,0.341585,1
0.032400,0.652000,0.608191,0.341738,7.984214,0.346915,1
0.032600,0.656000,0.612154,0.343726,7.984214,0.346997,1
0.032800,0.660000,0.616118,0.345714,7.858298,0.341834,1
0.033000,0.664000,0.620082,0.347702,7.608452,0.331506,1
0.033200,0.668000,0.624047,0.349690,7.238616,0.316179,1
0.033400,0.672000,0.628012,0.351678,6.754623,0.296096,1
0.033600,0.676000,0.631978,0.353667,6.164106,0.271574,1
0.033800,0.680000,0.635945,0.355655,5.476377,0.243001,1
0.034000,0.684000,0.639912,0.357644,4.702282,0.210830,1
0.034200,0.688000,0.643880,0.359634,3.854029,0.175569,1
0.034400,0.692000,0.647848,0.361623,2.944996,0.137776,1
0.034600,0.696000,0.651817,0.363612,1.989519,0.098047,1
0.034800,0.700000,0.655786,0.365602,1.002666,0.057011,1
0.035000,0.704000,0.659756,0.367592,-0.000000,0.015316,1
0.035200,0.708000,0.663727,0.369582,-1.002666,-0.026379,1
0.035400,0.712000,0.667697,0.371572,-1.989519,-0.067414,1
0.035600,0.716000,0.671669,0.373562,-2.944996,-0.107143,1
0.035800,0.720000,0.675641,0.375553,-3.854029,-0.144937,1
0.036000,0.724000,0.679613,0.377544,-4.702282,-0.180197,1
0.036200,0.728000,0.683586,0.379534,-5.476377,-0.212368,1
0.036400,0.732000,0.687559,0.381525,-6.164106,-0.240941,1
0.036600,0.736000,0.691533,0.383517,-6.754623,-0.265463,1
0.036800,0.740000,0.695507,0.385508,-7.238616,-0.285546,1
0.037000,0.744000,0.699481,0.387499,-7.608452,-0.300873,1
0.037200,0.748000,0.703456,0.389491,-7.858298,-0.311200,1
0.037400,0.752000,0.707432,0.391483,-7.984214,-0.316364,1
