time_s,i_alpha,id,iq,duty,use_park
0.000000,0.200500,0.000000,0.000000,0.334167,1
0.000050,0.358694,0.200401,-0.006298,0.278305,1
0.000100,0.483295,0.358004,-0.022243,0.236070,1
0.000150,0.581177,0.481248,-0.044439,0.204576,1
0.000200,0.657769,0.576902,-0.070404,0.181539,1
0.000250,0.717356,0.650393,-0.098343,0.165159,1
0.000300,0.763318,0.706071,-0.126966,0.154010,1
0.000350,0.798328,0.747428,-0.155360,0.146966,1
0.000400,0.824492,0.777264,-0.182888,0.143136,1
0.000450,0.843477,0.797830,-0.209115,0.141816,1
0.000500,0.856599,0.810934,-0.233751,0.142448,1
0.000550,0.864897,0.818035,-0.256616,0.144589,1
0.000600,0.869195,0.820310,-0.277604,0.147890,1
0.000650,0.870143,0.818712,-0.296662,0.152071,1
0.000700,0.868259,0.814015,-0.313779,0.156913,1
0.000750,0.863950,0.806852,-0.328967,0.162238,1
0.000800,0.857545,0.797741,-0.342259,0.167907,1
0.000850,0.849301,0.787108,-0.353700,0.173807,1
0.000900,0.839429,0.775306,-0.363343,0.179849,1
0.000950,0.828095,0.762631,-0.371247,0.185959,1
0.001000,0.815434,0.749329,-0.377476,0.192080,1
0.001050,0.801558,0.735611,-0.382093,0.198163,1
0.001100,0.786557,0.721655,-0.385165,0.204172,1
0.001150,0.770506,0.707612,-0.386761,0.210073,1
0.001200,0.753470,0.693614,-0.386947,0.215841,1
0.001250,0.735503,0.679776,-0.385791,0.221454,1
0.001300,0.716652,0.666197,-0.383363,0.226894,1
0.001350,0.696959,0.652963,-0.379730,0.232146,1
0.001400,0.676463,0.640151,-0.374960,0.237197,1
0.001450,0.655197,0.627827,-0.369122,0.242035,1
0.001500,0.633195,0.616049,-0.362282,0.246652,1
0.001550,0.610487,0.604869,-0.354510,0.251038,1
0.001600,0.587102,0.594331,-0.345871,0.255187,1
0.001650,0.563070,0.584474,-0.336432,0.259092,1
0.001700,0.538419,0.575330,-0.326259,0.262747,1
0.001750,0.513177,0.566927,-0.315418,0.266148,1
0.001800,0.487371,0.559289,-0.303973,0.269290,1
0.001850,0.461029,0.552432,-0.291988,0.272169,1
0.001900,0.434179,0.546373,-0.279525,0.274781,1
0.001950,0.406850,0.541121,-0.266645,0.277124,1
0.002000,0.379070,0.536682,-0.253409,0.279195,1
0.002050,0.350868,0.533059,-0.239876,0.280991,1
0.002100,0.322272,0.530253,-0.226103,0.282511,1
0.002150,0.293312,0.528259,-0.212145,0.283752,1
0.002200,0.264017,0.527071,-0.198057,0.284715,1
0.002250,0.234417,0.526680,-0.183890,0.285397,1
0.002300,0.204542,0.527073,-0.169695,0.285797,1
0.002350,0.174422,0.528237,-0.155521,0.285916,1
0.002400,0.144089,0.530153,-0.141413,0.285754,1
0.002450,0.113572,0.532805,-0.127416,0.285310,1
0.002500,0.082904,0.536169,-0.113572,0.284585,1
0.002550,0.052114,0.540225,-0.099922,0.283579,1
0.002600,0.021234,0.544948,-0.086502,0.282295,1
0.002650,-0.009705,0.550311,-0.073348,0.280732,1
0.002700,-0.040670,0.556288,-0.060494,0.278894,1
0.002750,-0.071631,0.562851,-0.047970,0.276780,1
0.002800,-0.102557,0.569970,-0.035805,0.274395,1
0.002850,-0.133415,0.577615,-0.024025,0.271739,1
0.002900,-0.164174,0.585754,-0.012654,0.268816,1
0.002950,-0.194803,0.594357,-0.001715,0.265629,1
0.003000,-0.225272,0.603392,0.008774,0.262180,1
0.003050,-0.255547,0.612825,0.018796,0.258474,1
0.003100,-0.285600,0.622625,0.028334,0.254514,1
0.003150,-0.315399,0.632759,0.037375,0.250303,1
0.003200,-0.344914,0.643194,0.045910,0.245847,1
0.003250,-0.374115,0.653897,0.053929,0.241149,1
0.003300,-0.402971,0.664837,0.061425,0.236214,1
0.003350,-0.431454,0.675981,0.068394,0.231047,1
0.003400,-0.459534,0.687297,0.074831,0.225654,1
0.003450,-0.487183,0.698756,0.080736,0.220039,1
0.003500,-0.514372,0.710326,0.086109,0.214208,1
0.003550,-0.541073,0.721978,0.090953,0.208167,1
0.003600,-0.567260,0.733683,0.095270,0.201921,1
0.003650,-0.592905,0.745412,0.099066,0.195478,1
0.003700,-0.617981,0.757138,0.102347,0.188843,1
0.003750,-0.642464,0.768836,0.105122,0.182023,1
0.003800,-0.666328,0.780479,0.107399,0.175025,1
0.003850,-0.689548,0.792043,0.109188,0.167855,1
0.003900,-0.712101,0.803506,0.110502,0.160521,1
0.003950,-0.733964,0.814844,0.111352,0.153029,1
0.004000,-0.755114,0.826037,0.111752,0.145388,1
0.004050,-0.775528,0.837065,0.111715,0.137605,1
0.004100,-0.795187,0.847909,0.111258,0.129687,1
0.004150,-0.814070,0.858552,0.110395,0.121642,1
0.004200,-0.832158,0.868977,0.109142,0.113479,1
0.004250,-0.849431,0.879170,0.107517,0.105205,1
0.004300,-0.865872,0.889115,0.105537,0.096828,1
0.004350,-0.881464,0.898801,0.103218,0.088357,1
0.004400,-0.896190,0.908216,0.100580,0.079800,1
0.004450,-0.910036,0.917348,0.097640,0.071166,1
0.004500,-0.922986,0.926190,0.094417,0.062462,1
0.004550,-0.935028,0.934733,0.090928,0.053698,1
0.004600,-0.946149,0.942970,0.087192,0.044882,1
0.004650,-0.956338,0.950894,0.083228,0.036023,1
0.004700,-0.965582,0.958502,0.079055,0.027129,1
0.004750,-0.973874,0.965789,0.074689,0.018210,1
0.004800,-0.981203,0.972752,0.070150,0.009273,1
0.004850,-0.987562,0.979390,0.065455,0.000329,1
0.004900,-0.992945,0.985701,0.060621,-0.008615,1
0.004950,-0.997345,0.991686,0.055666,-0.017550,1
0.005000,-1.000758,0.997345,0.050607,-0.026466,1
0.005050,-1.003179,1.002681,0.045460,-0.035355,1
0.005100,-1.004607,1.007695,0.040241,-0.044209,1
0.005150,-1.005038,1.012390,0.034965,-0.053018,1
0.005200,-1.004473,1.016772,0.029648,-0.061774,1
0.005250,-1.002911,1.020843,0.024305,-0.070468,1
0.005300,-1.000353,1.024610,0.018949,-0.079092,1
0.005350,-0.996802,1.028078,0.013593,-0.087637,1
0.005400,-0.992261,1.031253,0.008251,-0.096095,1
0.005450,-0.986735,1.034142,0.002935,-0.104458,1
0.005500,-0.980227,1.036753,-0.002343,-0.112717,1
0.005550,-0.972745,1.039093,-0.007572,-0.120864,1
0.005600,-0.964296,1.041169,-0.012743,-0.128892,1
0.005650,-0.954888,1.042991,-0.017844,-0.136791,1
0.005700,-0.944529,1.044566,-0.022866,-0.144556,1
0.005750,-0.933231,1.045905,-0.027802,-0.152177,1
0.005800,-0.921004,1.047014,-0.032642,-0.159648,1
0.005850,-0.907859,1.047905,-0.037380,-0.166961,1
0.005900,-0.893811,1.048586,-0.042008,-0.174109,1
0.005950,-0.878873,1.049067,-0.046520,-0.181085,1
0.006000,-0.863059,1.049357,-0.050912,-0.187882,1
0.006050,-0.846385,1.049466,-0.055176,-0.194493,1
0.006100,-0.828867,1.049403,-0.059310,-0.200912,1
0.006150,-0.810524,1.049178,-0.063309,-0.207133,1
0.006200,-0.791373,1.048801,-0.067170,-0.213149,1
0.006250,-0.771433,1.048281,-0.070889,-0.218955,1
0.006300,-0.750723,1.047627,-0.074464,-0.224545,1
0.006350,-0.729265,1.046849,-0.077894,-0.229914,1
0.006400,-0.707080,1.045956,-0.081177,-0.235055,1
0.006450,-0.684190,1.044956,-0.084311,-0.239965,1
0.006500,-0.660617,1.043859,-0.087297,-0.244638,1
0.006550,-0.636385,1.042673,-0.090133,-0.249070,1
0.006600,-0.611518,1.041406,-0.092821,-0.253256,1
0.006650,-0.586041,1.040067,-0.095361,-0.257193,1
0.006700,-0.559980,1.038664,-0.097753,-0.260876,1
0.006750,-0.533360,1.037204,-0.099998,-0.264302,1
0.006800,-0.506208,1.035695,-0.102100,-0.267467,1
0.006850,-0.478550,1.034144,-0.104058,-0.270369,1
0.006900,-0.450415,1.032558,-0.105875,-0.273004,1
0.006950,-0.421831,1.030943,-0.107554,-0.275370,1
0.007000,-0.392826,1.029307,-0.109097,-0.277465,1
0.007050,-0.363429,1.027654,-0.110507,-0.279287,1
0.007100,-0.333670,1.025992,-0.111787,-0.280833,1
0.007150,-0.303577,1.024326,-0.112940,-0.282103,1
0.007200,-0.273182,1.022660,-0.113968,-0.283095,1
0.007250,-0.242515,1.021001,-0.114877,-0.283808,1
0.007300,-0.211606,1.019352,-0.115668,-0.284242,1
0.007350,-0.180486,1.017719,-0.116346,-0.284396,1
0.007400,-0.149186,1.016105,-0.116915,-0.284270,1
0.007450,-0.117738,1.014515,-0.117377,-0.283863,1
