time_s,reference_a,current_a,u_i,u1_true,u1_meas,duty,feedforward,control_dt
0.000000,0.001000,0.000050,0.002010,0.000000,0.000000,0.000084,1,0.000050
0.000050,0.002000,0.000148,0.003929,0.251286,0.251286,0.010634,1,0.000050
0.000100,0.003000,0.000290,0.005762,0.502324,0.502324,0.021170,1,0.000050
0.000150,0.004000,0.000474,0.007515,0.752867,0.752867,0.031683,1,0.000050
0.000200,0.005000,0.000698,0.009192,1.002666,1.002666,0.042161,1,0.000050
0.000250,0.006000,0.000959,0.010797,1.251476,1.251476,0.052595,1,0.000050
0.000300,0.007000,0.001256,0.012335,1.499051,1.499051,0.062974,1,0.000050
0.000350,0.008000,0.001585,0.013810,1.745146,1.745146,0.073290,1,0.000050
0.000400,0.009000,0.001946,0.015225,1.989519,1.989519,0.083531,1,0.000050
0.000450,0.010000,0.002336,0.016584,2.231929,2.231929,0.093688,1,0.000050
0.000500,0.011000,0.002754,0.017890,2.472136,2.472136,0.103751,1,0.000050
0.000550,0.012000,0.003199,0.019146,2.709903,2.709903,0.113710,1,0.000050
0.000600,0.013000,0.003668,0.020356,2.944996,2.944996,0.123556,1,0.000050
0.000650,0.014000,0.004160,0.021521,3.177183,3.177183,0.133279,1,0.000050
0.000700,0.015000,0.004674,0.022645,3.406234,3.406234,0.142870,1,0.000050
0.000750,0.016000,0.005209,0.023730,3.631924,3.631924,0.152319,1,0.000050
0.000800,0.017000,0.005763,0.024779,3.854029,3.854029,0.161617,1,0.000050
0.000850,0.018000,0.006336,0.025792,4.072331,4.072331,0.170755,1,0.000050
0.000900,0.019000,0.006926,0.026773,4.286614,4.286614,0.179724,1,0.000050
0.000950,0.020000,0.007532,0.027724,4.496667,4.496667,0.188516,1,0.000050
0.001000,0.021000,0.008154,0.028645,4.702282,4.702282,0.197122,1,0.000050
0.001050,0.022000,0.008791,0.029540,4.903256,4.903256,0.205533,1,0.000050
0.001100,0.023000,0.009441,0.030409,5.099392,5.099392,0.213742,1,0.000050
